date,spy,score,gauge_pct,regime,model_prob,fwd_ret_3m,fwd_ret_6m,fwd_dd_3m,fwd_dd_6m,trap_10pct_3m,trap_10pct_6m
2004-10-12,75.35135650634766,4.0,40.0,Bull Trap Risk,40.0,0.06062480123177827,0.07198343372868776,-0.027603742759099714,-0.04725375579848912,False,False
2004-10-13,74.68840026855469,3.5,35.0,Bear Market,20.0,0.07509910049054302,0.0702518949272275,-0.027603742759099714,-0.04725375579848912,False,False
2004-10-14,74.08577728271484,3.5,35.0,Bear Market,20.0,0.07637522036551703,0.07978006648630642,-0.027603742759099714,-0.04725375579848912,False,False
2004-10-15,74.50094604492188,3.5,35.0,Bear Market,20.0,0.07390884658537211,0.07930987728812355,-0.027603742759099714,-0.04725375579848912,False,False
2004-10-18,74.78218841552734,4.5,45.0,Bull Trap Risk,40.0,0.061298422104151484,0.06256859036114704,-0.030817893781247996,-0.04725375579848912,False,False
2004-10-19,74.15274047851562,3.5,35.0,Bear Market,20.0,0.075949230339319,0.05761055165428797,-0.030817893781247996,-0.05346769379317995,False,False
2004-10-20,74.00542449951172,4.5,45.0,Bull Trap Risk,40.0,0.0780910262319563,0.04488724220593343,-0.030817893781247996,-0.06671251713061788,False,False
2004-10-21,74.48756408691406,4.5,45.0,Bull Trap Risk,40.0,0.0822549167622122,0.0413071119672026,-0.030817893781247996,-0.06671251713061788,False,False
2004-10-22,73.6505126953125,3.5,35.0,Bear Market,20.0,0.08310284745875074,0.061511966619429925,-0.030817893781247996,-0.06671251713061788,False,False
2004-10-25,73.5634994506836,3.5,35.0,Bear Market,20.0,0.07777971949100371,0.04794134896752422,-0.0318066698268743,-0.06957404280557322,False,False
2004-10-26,74.68840026855469,4.0,40.0,Bull Trap Risk,40.0,0.05504221947507748,0.052202663286738726,-0.03773941926712998,-0.06957404280557322,False,False
2004-10-27,75.58570098876953,4.5,45.0,Bull Trap Risk,40.0,0.040464233526247506,0.03576803827612096,-0.039634612173954475,-0.06957404280557322,False,False
2004-10-28,75.81339263916016,4.5,45.0,Bull Trap Risk,40.0,0.040276690792293346,0.03944817220225039,-0.039634612173954475,-0.06957404280557322,False,False
2004-10-29,75.80000305175781,4.5,45.0,Bull Trap Risk,40.0,0.04357612051946713,0.02953280126193003,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-01,76.00758361816406,4.5,45.0,Bull Trap Risk,40.0,0.04250142484802466,0.030732049675251005,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-02,76.03433990478516,4.0,40.0,Bull Trap Risk,40.0,0.04213457130578213,0.01745067942688583,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-03,76.99190521240234,5.5,55.0,Bull Trap Risk,40.0,0.035570985949240574,0.01843425787864872,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-04,78.0431900024414,6.0,60.0,Early Bull Market,65.0,0.028106189714092178,0.01035733023946861,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-05,78.53197479248047,6.0,60.0,Early Bull Market,65.0,0.024800397693927057,0.005794424610158222,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-08,78.41816711425781,6.0,60.0,Early Bull Market,65.0,0.023620056222616093,0.015028371075493485,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-09,78.26416015625,6.0,60.0,Early Bull Market,65.0,0.036584053404872474,0.016679469382662182,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-10,78.32444763183594,6.0,60.0,Early Bull Market,65.0,0.03440757004919659,0.012697272256705583,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-11,78.92037963867188,6.5,65.0,Early Bull Market,65.0,0.027794083129452085,0.011316042957963512,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-12,79.54312133789062,6.5,65.0,Early Bull Market,65.0,0.012112075762266805,-0.006991163140631973,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-15,79.73856353759766,6.5,65.0,Early Bull Market,65.0,0.013270544217940827,-0.003988425385731964,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-16,79.16770935058594,6.5,65.0,Early Bull Market,65.0,0.029355563971871446,-0.00784461681830495,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-17,79.6377944946289,6.5,65.0,Early Bull Market,65.0,0.022517396296422243,-0.01565755294092852,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-18,79.74529266357422,6.5,65.0,Early Bull Market,65.0,0.024946866142862234,-0.007809899663951958,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-19,78.85872650146484,6.5,65.0,Early Bull Market,65.0,0.03715418407841753,0.010044822207372572,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-22,79.2348403930664,6.5,65.0,Early Bull Market,65.0,0.02388519959955593,0.015595732845574917,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-23,79.3557357788086,6.5,65.0,Early Bull Market,65.0,0.023685466693394108,0.018316722452882184,-0.039634612173954475,-0.06957404280557322,False,False
