date,spy,score,gauge_pct,regime,model_prob,fwd_ret_3m,fwd_ret_6m,fwd_dd_3m,fwd_dd_6m,trap_10pct_3m,trap_10pct_6m
2004-10-15,74.50094604492188,3.5,35.0,Bear Market,20.0,0.07390884658537211,0.07930987728812355,-0.027603742759099714,-0.04725375579848912,False,False
2004-10-22,73.6505126953125,3.5,35.0,Bear Market,20.0,0.08310284745875074,0.061511966619429925,-0.030817893781247996,-0.06671251713061788,False,False
2004-10-29,75.80000305175781,4.5,45.0,Bull Trap Risk,40.0,0.04357612051946713,0.02953280126193003,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-05,78.53197479248047,6.0,60.0,Early Bull Market,65.0,0.024800397693927057,0.005794424610158222,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-12,79.54312133789062,6.5,65.0,Early Bull Market,65.0,0.012112075762266805,-0.006991163140631973,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-19,78.85872650146484,6.5,65.0,Early Bull Market,65.0,0.03715418407841753,0.010044822207372572,-0.039634612173954475,-0.06957404280557322,False,False
2004-11-26,79.48335266113281,6.5,65.0,Early Bull Market,65.0,0.014061855385109734,0.018471225207193465,-0.039634612173954475,-0.06957404280557322,False,False
2004-12-03,80.08778381347656,5.5,55.0,Bull Trap Risk,40.0,0.020899918131063844,0.019243010513404046,-0.039634612173954475,-0.06957404280557322,False,False
2004-12-10,80.14151000976562,6.5,65.0,Early Bull Market,65.0,0.01853201562635065,0.013573002619496677,-0.039634612173954475,-0.06957404280557322,False,False
2004-12-17,80.59432220458984,6.0,60.0,Early Bull Market,65.0,-0.002679374637140408,0.017796863757150838,-0.039634612173954475,-0.06957404280557322,False,False
2004-12-24,81.4917221069336,6.5,65.0,Early Bull Market,65.0,-0.027410658438691282,0.01465694711019272,-0.04422850916040888,-0.06957404280557322,False,False
2004-12-31,81.55919647216797,6.0,60.0,Early Bull Market,65.0,-0.02024166784922199,-0.0006926952317778401,-0.04725375579848912,-0.06957404280557322,False,False
2005-01-07,79.91951751708984,5.0,50.0,Bull Trap Risk,40.0,0.010709378550942894,0.016830687229116403,-0.04725375579848912,-0.06957404280557322,False,False
2005-01-14,79.78458404541016,4.5,45.0,Bull Trap Risk,40.0,-0.017044185885283558,0.043698676312033724,-0.05346769379317995,-0.06957404280557322,False,False
2005-01-21,78.7994155883789,4.0,40.0,Bull Trap Risk,40.0,-0.002691414747128751,0.0654650474802625,-0.06957404280557322,-0.06957404280557322,False,False
2005-01-28,79.2380142211914,5.0,50.0,Bull Trap Risk,40.0,-0.023685896772398296,0.0625720388777653,-0.06957404280557322,-0.06957404280557322,False,False
2005-02-04,81.12738037109375,6.0,60.0,Early Bull Market,65.0,-0.019202093604305137,0.045622487663548705,-0.06957404280557322,-0.06957404280557322,False,False
2005-02-11,81.4917221069336,6.0,60.0,Early Bull Market,65.0,-0.03613929150646045,0.029346474576134707,-0.06957404280557322,-0.06957404280557322,False,False
2005-02-18,81.23531341552734,6.0,60.0,Early Bull Market,65.0,-0.005244525213250806,0.023134158396081794,-0.06957404280557322,-0.06957404280557322,False,False
2005-02-25,81.93709564208984,6.5,65.0,Early Bull Market,65.0,-0.007481150006718118,0.005655579939735533,-0.06957404280557322,-0.06957404280557322,False,False
2005-03-04,82.81430053710938,6.5,65.0,Early Bull Market,65.0,-0.017176531760254354,0.006747531653755967,-0.06957404280557322,-0.06957404280557322,False,False
2005-03-11,81.23531341552734,5.0,50.0,Bull Trap Risk,40.0,0.002343516307550697,0.03401888205641135,-0.05690066413073358,-0.05690066413073358,False,False
2005-03-18,80.30119323730469,4.0,40.0,Bull Trap Risk,40.0,0.027921553887902517,0.04308311127976383,-0.04562246384709967,-0.04562246384709967,False,False
2005-03-25,79.35279846191406,4.0,40.0,Bull Trap Risk,40.0,0.027350246564489922,0.04076154728471404,-0.04562246384709967,-0.04562246384709967,False,False
2005-04-01,79.54925537109375,5.0,50.0,Bull Trap Risk,40.0,0.01899847314773262,0.04471643898153577,-0.04562246384709967,-0.04562246384709967,False,False
2005-04-08,79.9354019165039,4.0,40.0,Bull Trap Risk,40.0,0.02062794273291768,0.022237996016719164,-0.041280814706804336,-0.041280814706804336,False,False
2005-04-15,77.32732391357422,3.5,35.0,Bear Market,20.0,0.0810870008989244,0.0379011404233085,-0.02130461813509299,-0.053879173885764575,False,False
2005-04-22,78.28925323486328,4.0,40.0,Bull Trap Risk,40.0,0.06615349427945882,0.04504055877053026,-0.02130461813509299,-0.054443001024584214,False,False
2005-04-29,78.41119384765625,4.0,40.0,Bull Trap Risk,40.0,0.08054235305198376,0.03984417629480763,-0.02130461813509299,-0.054443001024584214,False,False
2005-05-06,79.31895446777344,5.0,50.0,Bull Trap Risk,40.0,0.06088725680022522,0.048439118033444695,-0.02130461813509299,-0.054443001024584214,False,False
2005-05-13,78.39086151123047,4.0,40.0,Bull Trap Risk,40.0,0.07431516985119102,0.06642853173385443,-0.02130461813509299,-0.054443001024584214,False,False
2005-05-20,80.69409942626953,6.0,60.0,Early Bull Market,65.0,0.02991215532729985,0.045300549687488756,-0.02130461813509299,-0.054443001024584214,False,False
2005-05-27,81.4595718383789,6.0,60.0,Early Bull Market,65.0,0.015224121900869969,0.0651608601574083,-0.02862378330618376,-0.054443001024584214,False,False
2005-06-03,81.39183807373047,6.0,60.0,Early Bull Market,65.0,0.024342177600682247,0.05245266043699437,-0.031750779950382446,-0.054443001024584214,False,False
2005-06-10,81.42568969726562,6.0,60.0,Early Bull Market,65.0,0.031601307569232295,0.05763510168254715,-0.031750779950382446,-0.054443001024584214,False,False
2005-06-17,82.54332733154297,6.0,60.0,Early Bull Market,65.0,0.014749722227844986,0.05763084776126415,-0.031750779950382446,-0.054443001024584214,False,False
2005-06-24,80.92454528808594,5.0,50.0,Bull Trap Risk,40.0,0.02417671370315788,0.06940152967745084,-0.031750779950382446,-0.054443001024584214,False,False
2005-07-01,81.29863739013672,4.0,40.0,Bull Trap Risk,40.0,0.03055431342509718,0.05738611436306851,-0.031750779950382446,-0.054443001024584214,False,False
2005-07-08,82.51610565185547,4.5,45.0,Bull Trap Risk,40.0,-0.013291879442850374,0.06883033513502923,-0.0401904690638869,-0.054443001024584214,False,False
2005-07-15,83.54994201660156,4.5,45.0,Bull Trap Risk,40.0,-0.03997193695805468,0.057577359192143795,-0.054443001024584214,-0.054443001024584214,False,False
