Indicator,Status,Value,Threshold,Note,Score
S&P 500 overextension,Normal,RSI14 43.4 | Dist50 -0.1% | Z20 -2.10,"High if Dist50 >= 7% + RSI >= 70, or Z20 >= 2.0",Measures whether SPY is materially stretched above its medium trend.,0
Increasing downward momentum,Warning,Bearish 5/6 | 5D -2.0%,Watch at 2 of 6 bearish conditions; high at 4 of 6,Counts short-term momentum and trend-friction conditions on SPY.,2
Top range formation & breakdown from range,Watch,DD from 20D high -2.6% | Below 20D low True,Watch on range weakness; high on break + DD <= -5%,Flags failed range behavior after recent highs.,1
Technical indicators deteriorating,Warning,Bearish 4/5 | MACD -1.60,Watch at 2 of 5 technical breaks; high at 3 of 5,"Aggregates moving-average, RSI, and MACD deterioration.",2
Market breadth worsening,Warning,>%50DMA 50.0% | >200DMA 60.0% | 5D -12.0 pts,Watch if >50DMA <= 55%; high if >50DMA <= 45% or 5D breadth drop <= -10,Uses available master-universe constituents to gauge how broad the tape remains.,2
VIX > 20 / VIX spike,Watch,VIX 17.84 | 5D 24.6%,Watch if VIX >= 20; high if VIX >= 25 or 5D spike >= 40%,Tracks volatility stress using spot VIX level and short-term acceleration.,1
Individual stocks breakout win rate decreased or breakdown rate increased,Warning,Win rate 24.2% | Breakdown 32.0%,Watch if win rate < 55% or breakdown >= 5%; high if win rate < 45% or breakdown >= 8%,Measures whether individual-stock breakouts are still working or rolling over.,2
Theme stocks momentum weakening,Normal,Weakest AI_Infrastructure | Underperf -1.5 pts | >50DMA 66.7%,Watch on RS underperformance / weaker theme breadth; high on material underperformance,Checks whether leadership groups are still confirming the broad market trend.,0
