signal,outcome,n,base_rate,hit_rate,lift,avg_fwd_dd_26w,median_fwd_dd_26w
model_liquidity_only,drop_5_4w,200,0.10721982758620689,0.095,0.8860301507537689,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_10_4w,200,0.02209051724137931,0.0,0.0,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_5_8w,200,0.18372844827586207,0.185,1.0069208211143694,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_10_8w,200,0.06303879310344827,0.05,0.7931623931623932,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_5_13w,200,0.2494612068965517,0.28,1.122419006479482,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_10_13w,200,0.109375,0.09,0.8228571428571428,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_10_26w,200,0.18480603448275862,0.21,1.136326530612245,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_15_26w,200,0.10237068965517242,0.07,0.6837894736842106,-0.05623191486051581,-0.04064433416232005
model_liquidity_only,drop_20_26w,200,0.05334051724137931,0.005,0.09373737373737374,-0.05623191486051581,-0.04064433416232005
model_correction_watch,drop_5_4w,128,0.10721982758620689,0.1328125,1.2386934673366834,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_10_4w,128,0.02209051724137931,0.0,0.0,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_5_8w,128,0.18372844827586207,0.234375,1.2756598240469208,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_10_8w,128,0.06303879310344827,0.0625,0.9914529914529915,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_5_13w,128,0.2494612068965517,0.328125,1.3153347732181426,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_10_13w,128,0.109375,0.125,1.1428571428571428,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_10_26w,128,0.18480603448275862,0.25,1.3527696793002915,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_15_26w,128,0.10237068965517242,0.0859375,0.8394736842105263,-0.060461272615847786,-0.04430935121963714
model_correction_watch,drop_20_26w,128,0.05334051724137931,0.0078125,0.14646464646464646,-0.060461272615847786,-0.04430935121963714
model_confirmed_drop,drop_5_4w,460,0.10721982758620689,0.22608695652173913,2.1086301070570244,-0.08117297446412591,-0.0585019550498897
model_confirmed_drop,drop_10_4w,460,0.02209051724137931,0.06521739130434782,2.9522799575821845,-0.08117297446412591,-0.0585019550498897
model_confirmed_drop,drop_5_8w,460,0.18372844827586207,0.3391304347826087,1.8458243019252836,-0.08117297446412591,-0.0585019550498897
model_confirmed_drop,drop_10_8w,460,0.06303879310344827,0.14782608695652175,2.3450018580453365,-0.08117297446412591,-0.0585019550498897
model_confirmed_drop,drop_5_13w,460,0.2494612068965517,0.4108695652173913,1.6470278899427178,-0.08117297446412591,-0.0585019550498897
model_confirmed_drop,drop_10_13w,460,0.109375,0.23478260869565218,2.1465838509316773,-0.08117297446412591,-0.0585019550498897
model_confirmed_drop,drop_10_26w,460,0.18480603448275862,0.32608695652173914,1.7644821903916847,-0.08117297446412591,-0.0585019550498897
model_confirmed_drop,drop_15_26w,460,0.10237068965517242,0.21739130434782608,2.123569794050343,-0.08117297446412591,-0.0585019550498897
