risk_bin,n,avg_score,drop5_4w,drop10_4w,drop15_4w,drop20_4w,avg_dd_4w,drop5_8w,drop10_8w,drop15_8w,drop20_8w,avg_dd_8w,drop5_13w,drop10_13w,drop15_13w,drop20_13w,avg_dd_13w,drop5_26w,drop10_26w,drop15_26w,drop20_26w,avg_dd_26w
Normal,844,7.241483725701265,0.08530805687203792,0.013033175355450236,0.005924170616113744,0.0035545023696682463,-0.011624373202598235,0.16587677725118483,0.035545023696682464,0.018957345971563982,0.013033175355450236,-0.022986839274449607,0.235781990521327,0.07701421800947868,0.04028436018957346,0.023696682464454975,-0.0333156879347607,0.3234597156398104,0.15639810426540285,0.08293838862559241,0.03909952606635071,-0.04828872712397005
Watch,237,42.488786032800824,0.1518987341772152,0.016877637130801686,0.012658227848101266,0.008438818565400843,-0.020312588893417843,0.23628691983122363,0.0970464135021097,0.0379746835443038,0.012658227848101266,-0.03465275740071363,0.3670886075949367,0.1729957805907173,0.06751054852320675,0.02531645569620253,-0.05061866188849124,0.4810126582278481,0.27848101265822783,0.14345991561181434,0.07172995780590717,-0.07852588821454569
Warning,126,63.5320065154696,0.12698412698412698,0.05555555555555555,0.007936507936507936,0.0,-0.012669144842614725,0.20634920634920634,0.11904761904761904,0.05555555555555555,0.015873015873015872,-0.02995169079538009,0.24603174603174602,0.16666666666666666,0.07142857142857142,0.015873015873015872,-0.03815301350969455,0.36507936507936506,0.23809523809523808,0.1111111111111111,0.05555555555555555,-0.061425597642738305
Stress,270,90.3282243755383,0.24444444444444444,0.07037037037037037,0.02962962962962963,0.007407407407407408,-0.02665595065950243,0.37777777777777777,0.1814814814814815,0.07407407407407407,0.011111111111111112,-0.04364634494747304,0.43333333333333335,0.2777777777777778,0.12962962962962962,0.044444444444444446,-0.05805455009124006,0.5259259259259259,0.3814814814814815,0.26666666666666666,0.15555555555555556,-0.08637396190985243
