d1_min,d2_min,liquidity_min,n,drop5_4w,drop10_8w,drop10_13w,drop10_26w,drop15_26w,drop20_26w,avg_fwd_dd_26w,median_fwd_dd_26w
70,3,30,70,0.2857142857142857,0.2857142857142857,0.4,0.5428571428571428,0.5142857142857142,0.22857142857142856,-0.12595111715054264,-0.15191282522821314
70,5,30,70,0.2857142857142857,0.2857142857142857,0.4,0.5428571428571428,0.5142857142857142,0.22857142857142856,-0.12595111715054264,-0.15191282522821314
70,7,30,70,0.2857142857142857,0.2857142857142857,0.4,0.5428571428571428,0.5142857142857142,0.22857142857142856,-0.12595111715054264,-0.15191282522821314
70,9,30,70,0.2857142857142857,0.2857142857142857,0.4,0.5428571428571428,0.5142857142857142,0.22857142857142856,-0.12595111715054264,-0.15191282522821314
70,11,30,67,0.29850746268656714,0.29850746268656714,0.417910447761194,0.5522388059701493,0.5223880597014925,0.22388059701492538,-0.1282510792485103,-0.15191282522821314
60,5,30,142,0.22535211267605634,0.18309859154929578,0.2746478873239437,0.4084507042253521,0.3591549295774648,0.20422535211267606,-0.10315397704267942,-0.06703015073823382
60,9,30,123,0.21951219512195122,0.21138211382113822,0.2926829268292683,0.43902439024390244,0.3821138211382114,0.2032520325203252,-0.10920033072105104,-0.0772442050404864
60,3,30,143,0.22377622377622378,0.18181818181818182,0.2727272727272727,0.40559440559440557,0.35664335664335667,0.20279720279720279,-0.10248504153335017,-0.06694967114018724
60,11,30,109,0.22935779816513763,0.22018348623853212,0.3119266055045872,0.44954128440366975,0.4036697247706422,0.2018348623853211,-0.11588541894180376,-0.0817663189585528
70,9,0,80,0.25,0.25,0.35,0.475,0.45,0.2,-0.11416759175229137,-0.09472704367324658
60,7,30,135,0.21481481481481482,0.1925925925925926,0.2740740740740741,0.4148148148148148,0.362962962962963,0.2,-0.1036066850660346,-0.06705434833551865
70,7,0,81,0.25925925925925924,0.24691358024691357,0.35802469135802467,0.48148148148148145,0.4444444444444444,0.19753086419753085,-0.11435578059768714,-0.09609964118804826
70,11,0,76,0.2631578947368421,0.2631578947368421,0.3684210526315789,0.4868421052631579,0.4605263157894737,0.19736842105263158,-0.11596778694878247,-0.09586369590290722
70,3,0,82,0.25609756097560976,0.24390243902439024,0.35365853658536583,0.47560975609756095,0.43902439024390244,0.1951219512195122,-0.11349901558819507,-0.09472704367324658
70,5,0,82,0.25609756097560976,0.24390243902439024,0.35365853658536583,0.47560975609756095,0.43902439024390244,0.1951219512195122,-0.11349901558819507,-0.09472704367324658
50,3,30,212,0.22169811320754718,0.1650943396226415,0.2641509433962264,0.38207547169811323,0.3113207547169811,0.18867924528301888,-0.10138149932336657,-0.06717285787818328
50,5,30,204,0.22058823529411764,0.16176470588235295,0.25,0.37254901960784315,0.30392156862745096,0.18137254901960784,-0.09817630168117328,-0.06707854593280349
50,9,30,162,0.22839506172839505,0.18518518518518517,0.2654320987654321,0.4012345679012346,0.3333333333333333,0.17901234567901234,-0.10270118583381051,-0.07140840957184891
40,9,30,184,0.22282608695652173,0.16847826086956522,0.2554347826086957,0.40217391304347827,0.32065217391304346,0.17391304347826086,-0.10188493241904904,-0.07361298688705842
50,7,30,184,0.21739130434782608,0.17391304347826086,0.25,0.3804347826086957,0.30978260869565216,0.17391304347826086,-0.09802694664746261,-0.06717285787818328
40,3,30,248,0.21370967741935484,0.1532258064516129,0.2540322580645161,0.375,0.2862903225806452,0.17338709677419356,-0.09723069324956952,-0.06703015073823382
40,5,30,238,0.21428571428571427,0.15126050420168066,0.24369747899159663,0.3697478991596639,0.2815126050420168,0.16806722689075632,-0.09508920316157066,-0.06703015073823382
40,11,30,156,0.24358974358974358,0.1794871794871795,0.26282051282051283,0.41025641025641024,0.33974358974358976,0.16666666666666666,-0.10359564865611257,-0.07563472421013573
40,7,30,211,0.2132701421800948,0.16113744075829384,0.24644549763033174,0.38388625592417064,0.2938388625592417,0.16587677725118483,-0.09690785843568119,-0.06852109627061415
50,11,30,139,0.2517985611510791,0.2014388489208633,0.2805755395683453,0.41007194244604317,0.34532374100719426,0.16546762589928057,-0.10413803061969477,-0.0772442050404864
60,5,0,188,0.22340425531914893,0.15425531914893617,0.24468085106382978,0.3723404255319149,0.2925531914893617,0.16489361702127658,-0.09334839719562683,-0.06284578138099273
60,3,0,189,0.2222222222222222,0.15343915343915343,0.24338624338624337,0.37037037037037035,0.291005291005291,0.164021164021164,-0.09289529473563907,-0.0626996504457889
60,9,0,165,0.21212121212121213,0.17575757575757575,0.24848484848484848,0.3878787878787879,0.3090909090909091,0.16363636363636364,-0.0969569253191346,-0.06805817932230418
60,11,0,148,0.21621621621621623,0.18243243243243243,0.25675675675675674,0.3918918918918919,0.32432432432432434,0.16216216216216217,-0.10084166455926459,-0.07140840957184891
60,7,0,180,0.21666666666666667,0.16111111111111112,0.24444444444444444,0.37777777777777777,0.29444444444444445,0.16111111111111112,-0.09357896235527216,-0.06310820695496977
50,3,0,287,0.21602787456445993,0.14285714285714285,0.22996515679442509,0.3344947735191638,0.24738675958188153,0.14634146341463414,-0.08965037265250102,-0.06461095588434906
50,5,0,279,0.21505376344086022,0.13978494623655913,0.21863799283154123,0.32616487455197135,0.24014336917562723,0.13978494623655913,-0.08697230022540693,-0.06342977728832455
50,9,0,222,0.22072072072072071,0.15765765765765766,0.22522522522522523,0.34684684684684686,0.26126126126126126,0.13963963963963963,-0.08996881092393826,-0.06673521664907123
30,3,30,311,0.20257234726688103,0.13504823151125403,0.2282958199356913,0.3408360128617363,0.2379421221864952,0.1382636655948553,-0.08618930443746453,-0.055283552014492754
30,9,30,233,0.21030042918454936,0.15021459227467812,0.2317596566523605,0.3562231759656652,0.26609442060085836,0.13733905579399142,-0.08941083140496259,-0.06284578138099273
40,9,0,259,0.23552123552123552,0.16216216216216217,0.23938223938223938,0.3745173745173745,0.25868725868725867,0.13513513513513514,-0.0915349879533755,-0.06852109627061415
30,5,30,301,0.2026578073089701,0.132890365448505,0.21926910299003322,0.33554817275747506,0.23255813953488372,0.132890365448505,-0.08410867467659995,-0.055283552014492754
50,7,0,256,0.21484375,0.1484375,0.21875,0.33203125,0.2421875,0.1328125,-0.0866702225775857,-0.06583837378766522
40,11,0,219,0.2465753424657534,0.1689497716894977,0.2328767123287671,0.3744292237442922,0.2785388127853881,0.1324200913242009,-0.09258114290388735,-0.06882803707225571
30,11,30,197,0.233502538071066,0.15736040609137056,0.23857868020304568,0.3604060913705584,0.27918781725888325,0.1319796954314721,-0.09089738060336194,-0.06673521664907123
40,3,0,349,0.22636103151862463,0.1489971346704871,0.24068767908309455,0.3553008595988539,0.23209169054441262,0.1318051575931232,-0.08845320061844138,-0.06680220409560594
50,11,0,190,0.23157894736842105,0.16842105263157894,0.23157894736842105,0.3526315789473684,0.2736842105263158,0.13157894736842105,-0.09095965545309631,-0.06707854593280349
30,7,30,266,0.20300751879699247,0.14285714285714285,0.22180451127819548,0.34210526315789475,0.24436090225563908,0.13157894736842105,-0.08537154202270145,-0.059286662033915194
40,5,0,332,0.2289156626506024,0.14759036144578314,0.23493975903614459,0.3493975903614458,0.2319277108433735,0.12951807228915663,-0.08706103410068629,-0.06625146485451883
