date,sp500,sma20,sma50,sma200,ret5,ret20,drawdown20,drawdown60,rsi14,vix,vix_chg5,vix_term_inverted,move,dxy_ret20,hyg_ief_ret20,hyg_ief_below_50dma,pct_above_50dma,pct_above_200dma,breadth_drop5,daily_confirmation_score,daily_confirmation_state,weekly_date,weekly_sp500,composite_risk_score,composite_risk_state,d1_market_regime_score,d2_score,liquidity_score,daily_fwd_max_dd_4w,daily_drop_5_4w,daily_drop_10_4w,daily_drop_15_4w,daily_drop_20_4w,daily_fwd_max_dd_8w,daily_drop_5_8w,daily_drop_10_8w,daily_drop_15_8w,daily_drop_20_8w,daily_fwd_max_dd_13w,daily_drop_5_13w,daily_drop_10_13w,daily_drop_15_13w,daily_drop_20_13w,daily_fwd_max_dd_26w,daily_drop_5_26w,daily_drop_10_26w,daily_drop_15_26w,daily_drop_20_26w
1991-01-03,321.9100036621094,328.7015014648438,320.7052014160156,334.0189503479004,-0.019434051347132275,-0.02175829915442562,-0.02966087818505092,-0.02966087818505092,41.623554756376635,27.93000030517578,0.12575578018517652,False,,0.0012090252113166056,,False,72.72727272727273,54.54545454545454,-21.212121212121204,46.0,Confirming,1991-01-03,321.9100036621094,,Unavailable,25.0,,0.0,-0.032369337110354834,False,False,False,False,-0.032369337110354834,False,False,False,False,-0.032369337110354834,False,False,False,False,-0.032369337110354834,False,False,False,False
1991-01-04,321.0,328.36400146484374,321.03100158691404,333.9242503356934,-0.023485036481001642,-0.020594965675057253,-0.03240391861341374,-0.03240391861341374,40.176243738646924,27.190000534057617,0.0854291960947855,False,,0.01745392774135568,,False,72.72727272727273,54.54545454545454,-18.181818181818173,51.0,Confirming,1991-01-03,321.9100036621094,,Unavailable,25.0,,0.0,-0.029626198646806823,False,False,False,False,-0.029626198646806823,False,False,False,False,-0.029626198646806823,False,False,False,False,-0.029626198646806823,False,False,False,False
1991-01-07,315.44000244140625,327.6915008544922,321.3022015380859,333.8079502868652,-0.044758036232392384,-0.04089516740545762,-0.04916351939289754,-0.04916351939289754,32.69575160715961,28.950000762939453,0.09742235344704109,False,,0.03130328553701878,,False,54.54545454545454,51.515151515151516,-39.3939393939394,67.0,High Confirmation,1991-01-03,321.9100036621094,,Unavailable,25.0,,0.0,-0.012522229826462672,False,False,False,False,-0.012522229826462672,False,False,False,False,-0.012522229826462672,False,False,False,False,-0.012522229826462672,False,False,False,False
1991-01-08,314.8999938964844,327.11450042724607,321.51900146484377,333.6642501831055,-0.04639333555685987,-0.03535108583082802,-0.050791276875706504,-0.050791276875706504,32.07117399526561,30.3799991607666,0.15163002756834665,False,,0.03182309071927225,,False,48.484848484848484,51.515151515151516,-42.42424242424242,72.0,High Confirmation,1991-01-03,321.9100036621094,,Unavailable,25.0,,0.0,-0.010828846389975944,False,False,False,False,-0.010828846389975944,False,False,False,False,-0.010828846389975944,False,False,False,False,-0.010828846389975944,False,False,False,False
1991-01-09,311.489990234375,326.1794998168945,321.66880126953123,333.5162501525879,-0.04582637896539199,-0.0566340957290179,-0.06107011233044457,-0.06107011233044457,28.383895177547643,33.29999923706055,0.25093907540310645,False,,0.029221984733221573,,False,39.39393939393939,48.484848484848484,-51.515151515151516,82.0,High Confirmation,1991-01-03,321.9100036621094,,Unavailable,25.0,,0.0,0.003210376035671647,False,False,False,False,0.003210376035671647,False,False,False,False,0.003210376035671647,False,False,False,False,0.003210376035671647,False,False,False,False
1991-01-10,314.5299987792969,325.43899993896486,321.8190014648437,333.38525009155273,-0.02292567735968487,-0.04496871841645145,-0.051906559821260356,-0.051906559821260356,35.50314600121236,31.329999923706055,0.12173288869961851,False,,0.022840541107709056,,False,45.45454545454545,54.54545454545454,-27.27272727272728,72.0,High Confirmation,1991-01-10,314.5299987792969,,Unavailable,25.0,,0.0,-0.006485894995196695,False,False,False,False,-0.006485894995196695,False,False,False,False,-0.006485894995196695,False,False,False,False,-0.006485894995196695,False,False,False,False
1991-01-11,315.2300109863281,324.8595001220703,321.8866015625,333.26100021362305,-0.01797504365629865,-0.03546293396411582,-0.0497965004180011,-0.0497965004180011,37.05482379199612,32.630001068115234,0.2000735721664877,False,,0.020954498644525588,,False,45.45454545454545,54.54545454545454,-27.27272727272728,72.0,High Confirmation,1991-01-10,314.5299987792969,,Unavailable,25.0,,0.0,-0.008692131638671774,False,False,False,False,-0.008692131638671774,False,False,False,False,-0.008692131638671774,False,False,False,False,-0.008692131638671774,False,False,False,False
1991-01-14,312.489990234375,324.1830001831055,321.8446014404297,333.116600189209,-0.009352054857339254,-0.04150051909464203,-0.058055794319894494,-0.058055794319894494,33.6429710629904,36.20000076293945,0.25043177232938585,False,,0.02476447308513996,,False,45.45454545454545,48.484848484848484,-9.090909090909086,73.0,High Confirmation,1991-01-10,314.5299987792969,,Unavailable,25.0,,0.0,0.003968193512448481,False,False,False,False,0.003968193512448481,False,False,False,False,0.003968193512448481,False,False,False,False,0.003968193512448481,False,False,False,False
1991-01-15,313.7300109863281,323.36700134277345,321.8868017578125,332.9749002075195,-0.003715411028368698,-0.04944698503330258,-0.05431797743382627,-0.05431797743382627,36.49285955113013,36.15999984741211,0.19025677571808264,False,,0.03048338897090086,,False,45.45454545454545,54.54545454545454,-3.030303030303031,64.0,High Confirmation,1991-01-10,314.5299987792969,,Unavailable,25.0,,0.0,0.00777739570956304,False,False,False,False,0.00777739570956304,False,False,False,False,0.00777739570956304,False,False,False,False,0.00777739570956304,False,False,False,False
1991-01-16,316.1700134277344,322.6655014038086,322.0900018310547,332.84615020751954,0.01502463430634804,-0.04248939509578287,-0.04696303412890923,-0.04696303412890923,41.79048115880933,33.20000076293945,-0.003002957249614635,False,,0.030387435624673387,,False,45.45454545454545,60.60606060606061,6.060606060606062,59.0,High Confirmation,1991-01-10,314.5299987792969,,Unavailable,25.0,,0.0,0.037321653831241086,False,False,False,False,0.037321653831241086,False,False,False,False,0.037321653831241086,False,False,False,False,0.037321653831241086,False,False,False,False
