Date,Platinum_Equity,Benchmark_Equity
2007-12-04,10000.0,10000.0
2007-12-05,10000.0,10167.393227489809
2007-12-06,10000.0,10312.927092983697
2007-12-07,10000.0,10310.878812421057
2007-12-10,10000.0,10390.816934336126
2007-12-11,10000.0,10105.904345297726
2007-12-12,10000.0,10205.655755844959
2007-12-13,10000.0,10184.4732681729
2007-12-14,10000.0,10055.344040504162
2007-12-17,10000.0,9911.863605703638
2007-12-18,10000.0,9967.204703275956
2007-12-19,10000.0,9967.204703275956
2007-12-20,10000.0,10030.06499170682
2007-12-21,10000.0,10174.649025948422
2007-12-24,10000.0,10250.204386616488
2007-12-26,10000.0,10272.183673085005
2007-12-27,10000.0,10143.050766751463
2007-12-28,10000.0,10117.636343089349
2007-12-31,10000.0,10042.768157006592
2008-01-02,10058.628146489706,9954.84733246772
2008-01-03,10077.73050240122,9950.03931756942
2008-01-04,10046.539043551533,9706.201228262034
2008-01-07,10030.721965570217,9697.959547636061
2008-01-08,10077.917072534408,9541.350693884471
2008-01-09,10084.877211152936,9641.63109643046
2008-01-10,10135.321175683534,9704.826879091412
2008-01-11,10137.772297963558,9626.525027280979
2008-01-14,10174.63144607504,9704.138233040178
2008-01-15,10115.513930061017,9490.5189036284
2008-01-16,10075.904823425217,9408.788536221018
2008-01-17,10064.448310876289,9164.946768248827
2008-01-18,10097.587239049097,9070.845051106957
2008-01-22,10112.029057349957,8978.801914789175
2008-01-23,10103.470832708332,9194.479825025048
2008-01-24,10176.365761305758,9272.098916647932
2008-01-25,10174.286735499918,9138.157995416092
2008-01-28,10214.977519081867,9289.26798101927
2008-01-29,10204.610266810938,9335.29028491112
2008-01-30,10233.073908621236,9266.604462897283
2008-01-31,10225.916577297185,9435.57215892303
2008-02-01,10178.037028757752,9587.372997776321
2008-02-04,10161.355996388778,9466.482507801715
2008-02-05,10108.534621376886,9213.024710032927
2008-02-06,10134.89354088853,9138.845170001403
2008-02-07,10163.180058589907,9199.288575656306
2008-02-08,10200.56514678062,9140.219519172026
2008-02-11,10214.196348222144,9186.923847518463
2008-02-12,10157.229951587842,9272.098916647932
2008-02-13,10176.331699762053,9366.884129710312
2008-02-14,10175.306893048684,9284.459966120972
2008-02-15,10158.79821154001,9282.402856762801
2008-02-19,10223.188605186522,9308.500776345421
2008-02-20,10271.77239276797,9335.977459496431
2008-02-21,10269.16006019531,9258.357632140584
2008-02-22,10274.259589796553,9315.369579266693
2008-02-25,10259.553466053854,9432.826403513627
2008-02-26,10289.651635834358,9503.578163681163
2008-02-27,10322.555561870618,9493.961398151605
2008-02-28,10350.921729037404,9401.229615782593
2008-02-29,10342.673484290879,9191.732598149722
2008-03-03,10368.376458879451,9169.750368749363
2008-03-04,10319.874532239244,9134.724329688415
2008-03-05,10392.898310490957,9192.422715666877
2008-03-06,10353.52290907426,9002.154814695357
2008-03-07,10339.203453493534,8909.428182457068
2008-03-10,10327.247890549983,8791.972093943097
2008-03-11,10346.887595475046,9107.937028321601
2008-03-12,10376.793783554001,9022.761223459172
2008-03-13,10415.725587521245,9042.681193370638
2008-03-14,10418.250024553681,8902.56085100172
2008-03-17,10425.883437561997,8812.577766973951
2008-03-18,10384.871300299259,9178.684374091374
2008-03-19,10284.964493355727,8951.329646035934
2008-03-20,10213.992285132992,9117.132954597628
2008-03-24,10226.557657024487,9299.365915905139
2008-03-25,10300.377564665854,9308.335972162222
2008-03-26,10328.960481302913,9194.444509842933
2008-03-27,10311.02649907203,9165.450745326922
2008-03-28,10267.08013335405,9077.788898790222
2008-03-31,10230.490559037551,9109.536511778206
2008-04-01,10156.389776186414,9429.825348766857
2008-04-02,10221.760426901958,9436.037877887167
2008-04-03,10228.284610084922,9459.509966532984
2008-04-04,10255.167833267662,9449.152317911981
2008-04-07,10277.0523010537,9453.987554929827
2008-04-08,10253.470226346884,9444.31928809302
2008-04-09,10301.52117834638,9375.982939235524
2008-04-10,10298.978898468791,9389.099586459222
2008-04-11,10271.22067478462,9206.869568083555
2008-04-14,10263.878713162401,9175.806922482003
2008-04-15,10276.491808026567,9197.20203697971
2008-04-16,10337.083181054926,9446.389640644486
2008-04-17,10316.959728236492,9460.198612584218
2008-04-18,10279.528678308756,9558.902339395388
2008-04-21,10274.13855277932,9563.736840680273
2008-04-22,10268.537915112738,9521.63231480425
2008-04-23,10245.802429210276,9506.446786495011
2008-04-24,10195.571763979224,9547.865609251643
2008-04-25,10191.998328633059,9636.217573305497
2008-04-28,10205.051522587872,9638.286454391038
2008-04-29,10158.995410605317,9600.321897884982
2008-04-30,10179.674749234815,9543.719754017993
2008-05-01,10157.798392187433,9741.13750790178
2008-05-02,10179.578659875524,9768.060919866328
2008-05-05,10220.152093652632,9721.12115697246
2008-05-06,10244.543551169294,9805.336094588192
2008-05-07,10192.847627403868,9630.696633168263
2008-05-08,10238.789853515218,9605.846516687021
2008-05-09,10240.792833710728,9587.899782576205
2008-05-12,10258.29783465655,9695.577244309261
2008-05-13,10215.31732066675,9696.959686542452
2008-05-14,10203.873902733409,9716.980451869535
2008-05-15,10288.212558691906,9838.466149809365
2008-05-16,10351.381836875402,9847.44724206086
2008-05-19,10350.49350715169,9874.358882298036
2008-05-20,10377.758862533365,9794.294950046682
2008-05-21,10369.491381764394,9628.624809150877
2008-05-22,10344.299717748243,9630.002101253343
2008-05-23,10347.502571462468,9500.924374891854
2008-05-27,10326.450175528045,9571.333283499696
2008-05-28,10329.320458145492,9615.509633393101
2008-05-29,10271.515185104703,9663.831838520162
2008-05-30,10307.893487725392,9687.988894552407
2008-06-02,10304.881751300283,9587.899782576205
2008-06-03,10258.54066530858,9531.984813294528
2008-06-04,10275.794590793737,9527.151783475565
2008-06-05,10301.298923043696,9717.671305119653
2008-06-06,10321.868109922569,9407.737909553121
2008-06-09,10276.181988107648,9430.514730551056
2008-06-10,10184.082810639567,9383.575703390148
2008-06-11,10178.123744379795,9245.522770640851
2008-06-12,10144.985586834024,9280.72612134533
2008-06-13,10193.14217939097,9398.074792847035
2008-06-16,10248.634889533385,9403.597204450192
2008-06-17,10240.996557700788,9358.036940857673
2008-06-18,10246.621529171154,9266.923771002243
2008-06-19,10288.07722894597,9278.655033060904
2008-06-20,10283.264689504693,9128.04976026878
2008-06-23,10198.953402214402,9119.028202704443
2008-06-24,10212.539508093012,9100.993180638341
2008-06-25,10239.430328422904,9144.004129521969
2008-06-26,10256.81776758772,8895.647904102809
2008-06-27,10271.709817159464,8847.088792962399
2008-06-30,10258.73606992987,8878.305942485702
2008-07-01,10308.747278856761,8906.05778976402
2008-07-02,10313.09118128479,8753.436608659526
2008-07-03,10276.273028193204,8762.45595902498
2008-07-07,10252.683136952059,8672.96287314905
2008-07-08,10253.275612117419,8826.968703685618
2008-07-09,10263.329886103458,8657.009975361783
2008-07-10,10337.311889726723,8692.38548757907
2008-07-11,10381.44835301302,8591.104488206502
2008-07-14,10404.108058631286,8513.408144622741
2008-07-15,10415.060347366267,8393.393176871388
2008-07-16,10373.791622093531,8599.427835191116
2008-07-17,10370.254338140425,8685.44899722541
2008-07-18,10355.39021756485,8739.562156486287
2008-07-21,10389.931016470451,8744.415786828149
2008-07-22,10321.959312602869,8843.620547785567
2008-07-23,10249.043325782068,8891.48512701106
2008-07-24,10266.42954582039,8706.957414599068
2008-07-25,10286.094516988933,8704.874554587273
2008-07-28,10277.811983118727,8577.229300300303
2008-07-29,10250.5774568649,8760.374570479105
2008-07-30,10217.41062309389,8916.464732493389
2008-07-31,10238.078792864846,8798.529681821989
2008-08-01,10214.995897549185,8752.050487761531
2008-08-04,10170.494084134796,8670.882220336138
2008-08-05,10131.640192681918,8904.66725446826
2008-08-06,10156.008796248065,8944.21069390802
2008-08-07,10138.533312446263,8811.012127233545
2008-08-08,10102.986087174042,8974.734047249367
2008-08-11,10011.839116987565,9067.696114035087
2008-08-12,9995.11189322323,8973.34424768657
2008-08-13,10025.532671033876,8919.235502823458
2008-08-14,9966.80743898414,8986.527110876732
2008-08-15,9915.184091616899,9030.232591675278
2008-08-18,9942.304060864426,8906.747907281175
2008-08-19,9988.649720530779,8809.628213534434
2008-08-20,9982.04130786666,8850.556302406267
2008-08-21,10045.660340307479,8865.820554142301
2008-08-22,10017.01321711434,8994.158868878267
2008-08-25,10002.459356166613,8811.708130614385
2008-08-26,10010.8126423977,8837.379325079788
2008-08-27,10019.860254813284,8923.399751381123
2008-08-28,10047.854182103332,9031.620919772153
2008-08-29,10022.62014706581,8934.496811627649
2008-09-02,9943.6417243471,8879.00047440062
2008-09-03,9930.493716645198,8871.373130796846
2008-09-04,9899.533588448368,8604.28440846482
2008-09-05,9913.878373495092,8631.338780896376
2008-09-08,9908.118935930248,8809.628213534434
2008-09-09,9827.631214368585,8548.092067856953
2008-09-10,9763.202173950856,8582.779669755966
2008-09-11,9737.263168916501,8706.957414599068
2008-09-12,9815.761910202984,8747.191707288943
2008-09-15,9872.277340827783,8330.954463427015
2008-09-16,9855.381168624144,8470.39498854023
2008-09-17,10112.773309494403,8089.541349958159
2008-09-18,10051.81026354679,8329.568342529023
2008-09-19,10145.265363552327,8660.366389128583
2008-09-22,10211.014087364341,8464.30311962548
2008-09-23,10188.728941308496,8271.726488623222
2008-09-24,10146.657912045614,8298.238625862728
2008-09-25,10154.48508280359,8428.019712934665
