Date,SSO,SMH,USD,GSG,IEF,QLD,XLU,AGG,VSS,XLI,IWM,XLK,JNK,XLV,VGK,TLT,EFA,BIL,VIG,XLP,XLC,LQD,FEZ,QQQ,HYG,TQQQ,EWT,SPY,SHV,GLD,VT,EWJ,USMV,VNQ,EEM,XLY
2007-12-04,4.632328510284424,13.654617309570312,0.6540210843086243,48.900001525878906,55.22596740722656,1.4850631952285767,11.307565689086914,58.09768295288086,60.686234826689216,27.08677101135254,58.16514205932617,10.123695373535156,38.570167541503906,26.179309844970703,38.03805923461914,53.371498107910156,45.91732406616211,71.74774169921875,38.252567291259766,17.56540870666504,12.789357352132315,51.27314758300781,34.626564025878906,43.48723602294922,31.957443237304688,0.6304744770768191,14.237010955810547,103.6978530883789,84.49330139160156,79.4000015258789,38.276936187069396,39.82649230957031,17.771845883013285,29.09498405456543,34.0649299621582,13.497791290283203
2007-12-05,4.776550769805908,14.040987968444824,0.691187858581543,49.09000015258789,55.01822280883789,1.5376349687576294,11.502706527709961,57.98923873901367,62.1854055399307,27.532299041748047,59.32143020629883,10.35732364654541,38.578250885009766,26.388851165771484,38.403228759765625,52.73494338989258,46.44832992553711,71.74774169921875,38.682769775390625,17.637998580932617,12.927626498320583,51.08005905151367,34.92912673950195,44.268226623535156,31.581462860107422,0.6644426952624826,14.7288818359375,105.43374633789062,84.49330139160156,78.62999725341797,39.01714118281901,40.56931686401367,17.879691024233086,30.074251174926758,35.57783889770508,13.478154182434082
2007-12-06,4.910051345825195,14.240541458129883,0.7197844386100769,50.5,54.7285041809082,1.5719597339630127,11.435052871704102,57.926414489746094,62.93168314424504,27.84555435180664,60.72610855102539,10.462451934814453,38.481590270996094,26.569494247436523,38.70513153076172,52.27299118041992,46.889892578125,71.76338195800781,39.31094741821289,17.631954193115234,13.04975020768039,50.70368576049805,35.31272506713867,44.90332794189453,31.863445281982422,0.6930403010796836,14.774426460266113,106.94282531738281,84.48562622070312,79.37000274658203,39.527699523672275,41.083580017089844,17.937824520384225,31.030664443969727,36.137916564941406,13.59599781036377
2007-12-07,4.921847343444824,14.189591407775879,0.7141916751861572,49.93000030517578,54.3759880065918,1.5825321674346924,11.494901657104492,57.595252990722656,62.484710969096334,28.054401397705078,60.91236877441406,10.474133491516113,38.505741119384766,26.5550537109375,38.65156173706055,51.68714141845703,46.70542526245117,71.82603454589844,39.174407958984375,17.8194580078125,13.11170881903816,50.269344329833984,35.199249267578125,44.911930084228516,31.8477725982666,0.6934385988174897,14.646907806396484,106.92159271240234,84.47792053222656,78.5999984741211,39.40644084455381,40.71217727661133,18.0283281796145,30.920839309692383,35.709495544433594,13.709921836853027
2007-12-10,4.981897830963135,14.304228782653809,0.7259184718132019,49.4900016784668,54.25007247924805,1.5918009281158447,11.5469331741333,57.48103332519531,62.87837032850213,28.18665885925293,61.393489837646484,10.52475357055664,38.69099044799805,26.605623245239258,39.09952926635742,51.377235412597656,47.186126708984375,71.779052734375,39.495323181152344,17.837600708007812,13.14715053387793,50.3031005859375,35.57745361328125,45.092140197753906,31.80078125,0.7017859119956206,14.492056846618652,107.75054931640625,84.50872039794922,80.0,39.69799197516691,40.82644271850586,18.054671784978645,31.584396362304688,35.72063446044922,13.717781066894531
2007-12-11,4.718111991882324,14.032493591308594,0.6986755728721619,50.02000045776367,54.992984771728516,1.523152232170105,11.278947830200195,57.76081085205078,60.8299527957439,27.28865623474121,59.2515754699707,10.36121654510498,38.658756256103516,26.19374656677246,38.076995849609375,52.38566207885742,45.956451416015625,71.87299346923828,38.51205062866211,17.64404296875,12.834172724490921,50.79050827026367,34.604949951171875,44.04509735107422,31.769453048706055,0.652899348893952,13.981966018676758,104.7960433959961,84.59333038330078,78.83999633789062,38.536747003604084,39.94077682495117,17.816964685526447,29.918670654296875,34.207740783691406,13.27780818939209
2007-12-12,4.801215171813965,14.232049942016602,0.7095007300376892,51.779998779296875,54.53334045410156,1.5435737371444702,11.281548500061035,57.70372772216797,62.2925132087973,27.636716842651367,59.68614959716797,10.540324211120605,38.562137603759766,26.208200454711914,38.860958099365234,51.84483337402344,46.878700256347656,71.85736846923828,38.7919921875,17.69243621826172,12.96598206529585,50.631317138671875,35.35054397583008,44.43988800048828,31.941753387451172,0.6704558017198354,14.082160949707031,105.83052825927734,84.57025146484375,80.48999786376953,39.15143325113544,40.25505065917969,17.846314212342943,29.818010330200195,35.23420333862305,13.321014404296875
2007-12-13,4.799604892730713,14.083443641662598,0.6995779275894165,51.650001525878906,54.1303825378418,1.520835041999817,11.448062896728516,57.48103332519531,60.84561528630189,27.775957107543945,59.360233306884766,10.485817909240723,38.570167541503906,26.19374656677246,38.15003204345703,51.28152084350586,45.92292022705078,71.888671875,38.81930160522461,17.771074295043945,12.89039732687721,50.341796875,34.82645797729492,44.19956970214844,31.926103591918945,0.6595788977965212,13.57207202911377,105.61083984375,84.57025146484375,78.5,38.705844942741216,39.42652130126953,17.8810540802855,29.4793701171875,34.265750885009766,13.234591484069824
2007-12-14,4.660207748413086,13.871152877807617,0.6765739321708679,51.5,53.972984313964844,1.4975180625915527,11.234718322753906,57.32114028930664,59.27908799953027,27.469648361206055,58.203922271728516,10.419620513916016,38.570167541503906,25.79633140563965,37.229774475097656,51.04490280151367,44.68205261230469,71.84170532226562,38.37548065185547,17.553319931030273,12.765533219950063,49.77231979370117,33.92420196533203,43.74468994140625,31.973108291625977,0.6392147340789481,13.353458404541016,104.27175903320312,84.55484008789062,78.5199966430664,37.9837897783891,37.883731842041016,17.635856172382102,28.73804473876953,33.449066162109375,13.061745643615723
2007-12-17,4.511694431304932,13.654617309570312,0.6494207382202148,50.47999954223633,54.29410171508789,1.4288700819015503,11.13063907623291,57.406768798828125,57.51191663317032,26.975370407104492,57.31147384643555,10.221039772033691,38.602394104003906,25.521747589111328,36.543209075927734,51.501190185546875,43.73183822631836,71.87299346923828,37.863338470458984,17.432340621948242,12.584379367561748,50.25487518310547,33.29207992553711,42.68048858642578,31.80078125,0.5925631390825182,12.606539726257324,102.78390502929688,84.5317611694336,78.12999725341797,37.2004860932626,37.226627349853516,17.4812214469726,27.850265502929688,32.02318572998047,12.939966201782227
2007-12-18,4.569061279296875,13.714057922363281,0.6546531319618225,50.959999084472656,54.40117263793945,1.43147611618042,11.229514122009277,57.70944595336914,58.5757334118589,27.051963806152344,58.33586502075195,10.221039772033691,38.707088470458984,25.716833114624023,36.85969543457031,51.83357620239258,44.27962112426758,71.87299346923828,38.13646697998047,17.35371208190918,12.643595855120717,50.409332275390625,33.659454345703125,42.817771911621094,31.832107543945312,0.5982811409716036,13.043760299682617,103.35779571533203,84.5240249633789,79.25,37.607714307364745,37.883731842041016,17.50860923772806,28.28042221069336,32.90236282348633,13.061745643615723
2007-12-19,4.576031684875488,13.739531517028809,0.66322261095047,50.880001068115234,54.83559036254883,1.4446558952331543,11.20089054107666,57.82931900024414,58.43991854649122,26.961463928222656,58.74716567993164,10.287230491638184,38.68296813964844,25.702392578125,36.5529670715332,52.52088928222656,43.916316986083984,71.90436553955078,38.19111633300781,17.49887466430664,12.627500756358288,50.805015563964844,33.38392639160156,42.8092155456543,31.988771438598633,0.5979224736123758,13.46276569366455,103.35779571533203,84.60871887207031,79.23999786376953,37.55187285785887,37.62660598754883,17.576922656776674,28.5687255859375,33.1165771484375,12.943903923034668
2007-12-20,4.620225429534912,13.93484115600586,0.6823352575302124,51.130001068115234,54.74742126464844,1.5044498443603516,11.250325202941895,57.77793502807617,58.81739606333697,27.18421745300293,59.63186264038086,10.435194969177246,38.66683578491211,25.85413360595703,36.75258255004883,52.408206939697266,44.22930908203125,71.93562316894531,38.22611999511719,17.42024040222168,12.748967932304774,50.55891799926758,33.67566680908203,43.68463134765625,31.919828414916992,0.6346036490392525,13.289697647094727,104.00958251953125,84.62406921386719,78.66999816894531,37.79314769593846,37.76946258544922,17.589315223550805,28.449649810791016,33.29731369018555,13.006749153137207
2007-12-21,4.772008895874023,14.062214851379395,0.6997364163398743,51.75,54.35075759887695,1.5566425323486328,11.2731351852417,57.526676177978516,60.03085223468289,27.664064407348633,60.99771499633789,10.569367408752441,38.602394104003906,26.013675689697266,37.26872253417969,51.64204788208008,44.86090850830078,71.93562316894531,38.754547119140625,17.837923049926758,12.843532115436341,50.50583267211914,34.23741912841797,44.546329498291016,32.02010726928711,0.6721571391725187,13.526529312133789,105.5089111328125,84.57793426513672,80.0999984741211,38.42565416510947,38.34084701538086,17.854454037067388,29.007837295532227,34.30146408081055,13.032464981079102
2007-12-24,4.847622871398926,14.17685604095459,0.7200841307640076,52.20000076293945,54.19333267211914,1.5749558210372925,11.328187942504883,57.54383850097656,60.584260878586996,27.971834182739258,61.44005584716797,10.647599220275879,38.5540657043457,26.10071563720703,37.46767044067383,51.39979934692383,45.044349670410156,71.93562316894531,39.11827087402344,17.813600540161133,13.009989129195672,50.250064849853516,34.358333587646484,44.88140106201172,31.90731430053711,0.687324768889163,13.73232364654541,106.29246520996094,84.57793426513672,80.13999938964844,38.72722806271634,38.27735900878906,17.872151391947426,29.947477340698242,34.88161087036133,13.273813247680664
2007-12-26,4.844822883605957,14.155625343322754,0.7172316312789917,53.27000045776367,53.935203552246094,1.5909795761108398,11.27051067352295,57.36680221557617,60.81164924594711,27.866905212402344,61.727203369140625,10.706274032592773,38.53794479370117,26.07170295715332,37.568145751953125,50.9490966796875,45.17045974731445,71.90436553955078,39.03593444824219,17.752803802490234,13.024505345448114,50.2645378112793,34.48476028442383,45.10477828979492,31.76633644104004,0.6975873296266759,13.694905281066895,106.52035522460938,84.60103607177734,81.5199966430664,38.835534292835455,38.4505500793457,17.831720065842724,29.449737548828125,35.06242370605469,13.230287551879883
2007-12-27,4.7188005447387695,13.900876998901367,0.6888008713722229,53.130001068115234,54.297340393066406,1.5467232465744019,11.170890808105469,57.68159866333008,60.028083126105,27.545166015625,60.260986328125,10.55763053894043,38.53794479370117,25.803373336791992,37.6234016418457,51.504554748535156,44.89531707763672,71.93562316894531,38.576107025146484,17.58257484436035,12.842561682164398,50.562625885009766,34.53970718383789,44.56352615356445,31.975820541381836,0.6724744271792756,13.629424095153809,105.18128204345703,84.63270568847656,81.55999755859375,38.36163028803082,37.8443489074707,17.654465315730707,28.863636016845703,34.25332260131836,13.044337272644043
2007-12-28,4.706478118896484,13.854172706604004,0.6822403073310852,52.810001373291016,54.73335647583008,1.5424495935440063,11.252161026000977,57.99120330810547,60.426485576965995,27.517175674438477,59.61466979980469,10.506779670715332,38.85600662231445,25.70184326171875,37.98511505126953,52.30772399902344,45.27936553955078,71.93408966064453,38.637882232666016,17.649450302124023,12.78241663858816,50.72262954711914,34.98492431640625,44.520572662353516,31.663909912109375,0.6705298913520688,13.891351699829102,104.91777801513672,84.64041900634766,83.0,38.428860708780356,38.27735900878906,17.653306722738375,28.356603622436523,34.382144927978516,12.9849853515625
2007-12-31,4.637587070465088,13.781991004943848,0.6751084923744202,52.7400016784668,54.986122131347656,1.5142171382904053,11.097484588623047,58.008384704589844,59.910840079019295,27.391273498535156,59.10074996948242,10.428546905517578,38.83980178833008,25.607559204101562,37.58824157714844,52.624454498291016,44.99850082397461,71.91844177246094,38.397674560546875,17.509614944458008,12.711464301631558,50.81955337524414,34.440765380859375,44.005096435546875,31.73322868347168,0.647238936338309,14.059728622436523,104.1413803100586,84.62495422363281,82.45999908447266,38.13160232148351,38.36396026611328,17.55099427226965,28.589191436767578,33.96855545043945,12.937517166137695
2008-01-02,4.5406904220581055,13.314949035644531,0.6309890747070312,54.65999984741211,55.37792205810547,1.465838074684143,11.034562110900879,58.28361511230469,59.38720063143141,26.936599731445312,58.524566650390625,10.217314720153809,38.92092514038086,25.3392391204834,37.44255065917969,53.38237762451172,44.83799362182617,71.9812240600586,37.780006408691406,17.260345458984375,12.485542363164646,51.420623779296875,34.38031768798828,43.30916976928711,31.348865509033203,0.6165312998331257,13.554590225219727,103.22969818115234,84.70987701416016,84.86000061035156,37.81282256691516,38.19074630737305,17.334113931812688,28.500795364379883,33.40806198120117,12.739689826965332
2008-01-03,4.5390119552612305,13.081427574157715,0.6067425608634949,54.65999984741211,55.491703033447266,1.4742320775985718,11.018836975097656,58.43842315673828,59.66015088548875,26.957595825195312,57.87825012207031,10.232963562011719,38.58015441894531,25.491531372070312,37.578189849853516,53.30886459350586,44.91250991821289,71.93408966064453,37.800601959228516,17.169151306152344,12.425309330414606,51.25095748901367,34.49574661254883,43.48958206176758,31.289003372192383,0.6242361225610646,13.507818222045898,103.17980194091797,84.67123413085938,85.56999969482422,37.87265535986153,38.3350944519043,17.340412163094175,27.612346649169922,33.708648681640625,12.597259521484375
2008-01-04,4.3239312171936035,12.419076919555664,0.5362836122512817,54.29999923706055,55.63706970214844,1.3466483354568481,11.102726936340332,58.55887985229492,58.13012036945686,26.4050235748291,56.13402557373047,9.83397102355957,38.21504211425781,25.230440139770508,36.663841247558594,53.320167541503906,43.89216613769531,71.91844177246094,37.148651123046875,17.096200942993164,11.98795277691205,51.67268371582031,33.78669738769531,41.58230209350586,31.254343032836914,0.5421065874690669,13.124285697937012,100.65125274658203,84.73306274414062,85.12999725341797,36.93343310237132,37.35361862182617,17.21477052396446,26.49129295349121,32.69615173339844,12.201620101928711
2008-01-07,4.3127312660217285,12.487011909484863,0.5247782468795776,52.68000030517578,55.73814010620117,1.3292509317398071,11.333434104919434,58.63340377807617,58.3369261981372,26.076265335083008,56.25862503051758,9.747910499572754,38.43411636352539,25.730846405029297,36.64877700805664,53.55204772949219,43.938026428222656,71.9812240600586,37.402565002441406,17.296823501586914,11.956875861406672,51.609683990478516,34.05052947998047,41.38472366333008,31.06844139099121,0.5343791243551274,12.871715545654297,100.56578063964844,84.68672180175781,84.7699966430664,36.96835077320126,37.122676849365234,17.4864915116898,26.737829208374023,32.93571090698242,12.245139122009277
2008-01-08,4.164306163787842,12.257735252380371,0.4992949664592743,53.70000076293945,55.85819625854492,1.2680531740188599,11.336050033569336,58.78247833251953,57.959625076099805,25.49570083618164,54.522193908691406,9.48974609375,38.53147888183594,25.941164016723633,36.37247085571289,53.489871978759766,43.6915283203125,71.93408966064453,36.867252349853516,17.169151306152344,11.682645130023692,51.512718200683594,33.69325256347656,40.310791015625,30.888883590698242,0.49277774560249865,12.918488502502441,98.9417953491211,84.74073028564453,86.77999877929688,36.53479386530071,37.03607940673828,17.493420561358,25.812143325805664,32.68033218383789,12.007756233215332
2008-01-09,4.257840156555176,12.27896499633789,0.5087088942527771,53.5,55.769744873046875,1.3086479902267456,11.459273338317871,58.64485549926758,58.97051306756681,25.572647094726562,55.07508850097656,9.622735977172852,38.15826416015625,26.405305862426758,36.42271041870117,53.591644287109375,44.00678634643555,71.8869400024414,37.182952880859375,17.400184631347656,11.80684605717508,51.40608596801758,33.90213394165039,41.16991424560547,30.551753997802734,0.5242847042454399,13.358146667480469,99.98167419433594,84.7716293334961,86.55000305175781,37.004709333797436,37.8443489074707,17.767615953316508,26.26801300048828,33.7515869140625,12.094793319702148
2008-01-10,4.3239312171936035,12.236507415771484,0.5054758191108704,52.7599983215332,55.61811447143555,1.3094110488891602,11.388484954833984,58.524417877197266,59.21164233239523,25.92937469482422,55.830360412597656,9.638384819030762,37.94731521606445,26.369047164916992,36.45284652709961,52.86771011352539,43.960941314697266,71.91844177246094,37.51237106323242,17.430572509765625,11.899486119942807,51.25580596923828,34.05052947998047,41.23005676269531,30.77859115600586,0.52658238708225,13.386210441589355,100.63699340820312,84.79483032226562,88.25,37.19195875148834,37.52680969238281,17.770931849998068,26.672698974609375,34.14935302734375,12.264923095703125
2008-01-11,4.2432780265808105,11.973264694213867,0.48075371980667114,52.650001525878906,55.97197341918945,1.2732425928115845,11.385866165161133,58.776702880859375,57.83669388109525,25.48870849609375,54.67794418334961,9.497566223144531,37.79314041137695,26.448822021484375,35.789703369140625,53.28059768676758,43.08390808105469,71.94981384277344,36.99079513549805,17.18739128112793,11.670532425019665,51.62911605834961,33.58332443237305,40.42246627807617,30.84476089477539,0.4956392141715278,13.180411338806152,99.82498931884766,84.84113311767578,88.58000183105469,36.64739899083841,36.89174270629883,17.67384838260618,26.677356719970703,33.188838958740234,11.972146034240723
2008-01-14,4.317772388458252,12.380865097045898,0.5153645277023315,53.36000061035156,55.99726486206055,1.3065109252929688,11.401591300964355,58.82260513305664,58.73103492056816,25.8034725189209,55.129573822021484,9.689240455627441,37.80937194824219,26.245756149291992,36.35740661621094,53.47854995727539,43.771793365478516,72.01263427734375,37.21726989746094,17.114442825317383,11.84421744033446,51.415771484375,34.358333587646484,41.126976013183594,30.737642288208008,0.5215542077606907,13.722970008850098,100.6298599243164,84.84880065917969,89.54000091552734,37.06630503320697,37.35361862182617,17.568494649818607,26.565717697143555,33.677005767822266,12.086878776550293
2008-01-15,4.1144585609436035,12.070918083190918,0.48389115929603577,52.38999938964844,56.363792419433594,1.2468408346176147,11.28099250793457,59.03472137451172,56.52395063491035,25.264873504638672,54.11729049682617,9.485833168029785,37.630855560302734,25.948410034179688,35.191871643066406,54.07807922363281,42.35017776489258,71.99689483642578,36.55157470703125,16.932035446166992,11.61133919647788,51.69206237792969,33.16010284423828,39.992919921875,30.816415786743164,0.4784094071751306,13.779095649719238,98.41468048095703,84.82569122314453,87.98999786376953,36.00489687805266,36.31441116333008,17.375351899579503,26.026111602783203,32.15372848510742,11.865321159362793
