Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Total
2007,,,,,,,,,,,,0.0,0.0
2008,0.022591024809312854,0.011418002343889233,-0.010846773700063594,-0.004966974799301083,0.012595235357203638,-0.004768467097306273,-0.00201417821759875,-0.02104421744100904,0.0058783834312887695,-0.054866224684198994,0.026371909613385647,0.028978475098793144,0.006308135827929551
2009,0.015676279492594425,0.001808236048224332,-0.0006893200782339681,0.010918986239993655,0.029080360292963237,-0.002350854382709433,0.1028704830373135,0.022529032505096858,0.046061747257393426,-0.04865692425613599,0.06365165566631048,0.04625361097642822,0.317998599150231
2010,-0.0778809415770435,0.05298863339256532,0.07947372739214065,0.042038875520496566,-0.13486663664186116,-0.026630991209599664,-0.013270997466908074,0.0019520096576739476,0.05371571036533562,0.07475177246850806,-0.008719225676192432,0.05404464227765371,0.07596806743948625
2011,-0.0023157211198636674,0.03378616375098531,-0.01979765299593572,0.038111190880584234,-0.029014594288237383,-0.04948916496134925,0.0034920572308942965,0.005412379028750802,-0.0353294591561053,0.0176216309635171,-0.003333741674206414,-0.030873836443088498,-0.07336901801190687
2012,0.06204033523287622,0.05495242302318992,0.05395545797727075,-0.004026910195983779,-0.06895370356922348,0.012483571524661174,0.002293919892757179,0.045937788553691794,0.007807951042683614,-0.026367048753861977,-0.0034678785920669863,0.008829605198604096,0.14653184785443063
2013,0.024414952313893457,0.009557983796604441,0.023183630900230012,0.008522209057553853,0.032215430576030935,-0.03556588469751465,0.03253641111674144,-0.0005024693459294571,0.04515639859066334,0.058584733949062606,0.019301389555761217,0.03143551899931385,0.275345483200393
2014,-0.028121200733871365,0.061152627746432486,-0.017113472786740247,0.0024149928747156935,0.04288992331541919,0.051786256748242554,-0.0027089650324928494,0.03522513212677736,-0.014347626413155345,-0.011152678350595191,0.031171564580097177,-0.009761670010484669,0.1452156068658259
2015,0.008417808955874184,0.014040821166753759,-0.026853192384361013,0.0021108494347856777,0.010609667007919876,-0.05189649545023134,0.03581734358689115,-0.0225979987531999,-0.006203994730623608,0.027726487025470092,-0.014666166927756352,-0.023823714388376382,-0.049675078289178054
2016,0.0011952987016106142,0.030812206955216137,0.0020301615709292786,0.002418308620810272,-0.0007703647361537724,-0.005825352516173554,0.056662040645270695,0.013662924018345901,0.04296426410320775,-0.018956561205786704,-0.0076969028652039695,0.005908839705757618,0.12653952596475349
2017,0.038897985886387154,0.048950253779054265,0.028852065411956618,0.020541951508467715,0.0490132834135657,-0.03980085618272988,0.0317814426722145,0.03360569102722155,-0.0019584150175162574,0.04842050804632869,0.015218580345147004,0.0015478010242206963,0.30771131917828387
2018,0.06847142684442309,-0.027964103986817257,-0.05645209766052295,-0.007700950513314098,0.04020795721767856,-0.0033962309491384346,0.023996683918472872,0.04093830516780805,-0.009308892331459706,-0.07560519254132736,-0.0018224351111828518,0.010399688965980314,-0.007536022569650025
2019,0.014921325162586596,0.0028455333001715655,0.03548059848106444,0.03926378241273576,-0.11013839442041984,0.024656026838128398,0.015589172308224875,-0.0018606266284034723,-0.01626726625925623,0.04390732070985193,0.02269323761245068,0.06404845388790004,0.13133143234875644
2020,0.030791059964315526,-0.07464240728937377,-0.02887756714279366,0.029447689448129033,0.030111899344452464,0.04069553570919049,0.09125761952828237,0.0694211630759185,-0.09097904671503665,-0.08911475966157256,0.08319655986746088,0.05985738165544019,0.13405710660938208
2021,0.00021003714908007787,0.01591364401710238,0.03404260847979379,0.020442985742222808,-0.0015805008635773055,0.038777158948416046,0.033310777863170715,0.053356876199977865,-0.05479956691380827,0.03671836327597622,0.045313410949444854,0.001978992187928519,0.242244155128432
2022,-0.09122253957964965,-0.014871239600403152,0.0019165359056338982,-0.09057991214708128,0.0012034197547534653,-0.02911684992134156,0.0007214912192257117,-0.029875622423996995,-0.012347933103000974,-0.0007618887226156223,0.01598447601584474,-0.014742646258954828,-0.2395226400707573
2023,0.05546776405464926,-0.001453431600068722,0.06972248007678417,-0.0037241123429460066,0.0987137261309381,0.06452155391898429,0.0497724005677338,-0.022865140738815848,-0.061190974418887545,-0.028300484366694967,0.10016759448771029,0.05726728545016457,0.429899754172421
2024,0.03248830589632057,0.06615320126480828,0.02472520500109532,-0.022074528705116725,0.04967150232019191,0.08229713604298317,-0.01729696923527957,0.012276523974547926,0.011929602409143536,-0.0018701653107231486,0.039213221917270724,0.00027394278294523566,0.3088813114922002
2025,0.045478805517584764,-0.03908655802295724,-0.0460626201053691,0.019447864318366648,0.02303524228604359,0.1008889728395439,0.029655663322973203,0.020680621266848664,0.07474736991062092,0.08023021342727232,-0.03825839272636988,0.00983014176796071,0.30385660973976614
2026,0.03432612132215063,0.009796190364584456,-0.05818948903424648,0.09862294708635022,0.13602097603336438,0.017813323135047687,-0.07853673904907987,0.039408590725885206,-0.01303728478811772,,,,0.18119873829886424
