bt_score,bear_score,fwd_spy_ret,fwd_spy_ret_pct
2.5,0.5,0.010429012105229063,1.0429012105229063
2.5,0.5,0.016371800639697787,1.6371800639697787
2.5,0.5,0.001750725004932896,0.1750725004932896
3.5,0.5,-0.008302190719378544,-0.8302190719378544
2.5,0.5,0.008547669884900966,0.8547669884900966
4.5,0.5,0.005941830770538115,0.5941830770538115
5.0,0.5,-0.0021721247197141746,-0.21721247197141746
4.0,0.5,0.001218524175437441,0.1218524175437441
5.0,0.5,0.011824675139268992,1.1824675139268992
5.5,0.5,-0.0326514458869418,-3.26514458869418
3.5,0.5,-0.010043453085805787,-1.0043453085805787
3.5,0.5,-0.0002702723940426477,-0.02702723940426477
4.0,0.5,0.032513747387298286,3.2513747387298286
3.0,0.5,-0.0023550884866002653,-0.23550884866002653
3.5,0.5,-0.00472179805234485,-0.472179805234485
4.5,0.5,0.004656334321535782,0.4656334321535782
4.5,0.5,-0.029730781056050648,-2.973078105605065
2.5,0.5,-0.009012198471408661,-0.9012198471408661
2.5,0.5,0.0007278667166392694,0.07278667166392694
2.5,0.5,-0.002090390392301966,-0.20903903923019662
2.5,0.5,0.027775143165747362,2.7775143165747362
4.5,0.5,0.0010633387044605147,0.10633387044605147
4.5,0.5,0.012125914530526138,1.2125914530526138
5.0,0.5,-0.002669147963383911,-0.2669147963383911
5.5,0.5,0.001847929861430897,0.1847929861430897
4.0,0.5,-0.008432757886501996,-0.8432757886501996
4.5,0.5,-0.01018791516527151,-1.018791516527151
3.5,0.5,-0.009128894057151338,-0.9128894057151338
4.5,0.5,-0.01580747128307658,-1.580747128307658
3.5,0.5,0.01725472744880885,1.7254727448808849
4.0,0.5,-0.03599774231554276,-3.599774231554276
3.5,0.5,0.0031816896405989503,0.31816896405989503
3.5,0.5,0.030693227088231412,3.069322708823141
4.5,0.5,0.008780142776736666,0.8780142776736666
5.0,0.5,0.0060111163820091296,0.601111638200913
5.0,0.5,0.008384258496762165,0.8384258496762165
5.5,0.5,0.004961729281711458,0.4961729281711458
4.5,0.5,-0.014935653157407747,-1.4935653157407747
5.0,0.5,0.01964836549674609,1.964836549674609
4.5,0.5,-0.01003102331836725,-1.003102331836725
4.0,0.5,-0.01110990938659595,-1.110990938659595
3.5,0.5,-0.011415269097534209,-1.1415269097534209
3.5,0.5,0.02918458456764128,2.918458456764128
4.5,0.5,0.03604235623544638,3.6042356235446382
6.0,0.5,0.01287521209091902,1.287521209091902
6.5,0.5,-0.00860340341730581,-0.860340341730581
