Date,Platinum_Equity,Benchmark_Equity
2007-12-04,10000.0,10000.0
2007-12-05,10000.0,10167.393950907044
2007-12-06,10000.0,10312.924127028995
2007-12-07,10000.0,10310.872903685426
2007-12-10,10000.0,10390.81911278116
2007-12-11,10000.0,10105.901394574368
2007-12-12,10000.0,10205.654269248374
2007-12-13,10000.0,10184.4739903335
2007-12-14,10000.0,10055.341829233597
2007-12-17,10000.0,9911.85993352359
2007-12-18,10000.0,9967.20544142172
2007-12-19,10000.0,9967.20544142172
2007-12-20,10000.0,10030.062046563213
2007-12-21,10000.0,10174.649748831824
2007-12-24,10000.0,10250.202896742318
2007-12-26,10000.0,10272.181445860839
2007-12-27,10000.0,10143.050020493845
2007-12-28,10000.0,10117.635598701554
2007-12-31,10000.0,10042.76815386
2008-01-02,10058.623442121245,9954.848071522658
2008-01-03,10077.725148319134,9950.039321245195
2008-01-04,10046.536923796893,9706.195364014526
2008-01-07,10030.720101613622,9697.957362659452
2008-01-08,10077.916679712383,9541.34852043009
2008-01-09,10084.87902617466,9641.634801461372
2008-01-10,10135.320560423443,9704.821750677924
2008-01-11,10137.770761680189,9626.522847560043
2008-01-14,10174.63336931962,9704.141197739329
2008-01-15,10115.515993950377,9490.522619777134
2008-01-16,10075.906541445553,9408.78195812223
2008-01-17,10064.448625841804,9164.946093953535
2008-01-18,10097.58245008408,9070.84144080341
2008-01-22,10112.026387293377,8978.801254189171
2008-01-23,10103.468062273942,9194.481355755628
2008-01-24,10176.363157332271,9272.096027270381
2008-01-25,10174.284107285373,9138.156587358828
2008-01-28,10214.971340699485,9289.270976241785
2008-01-29,10204.605638391777,9335.288126617279
2008-01-30,10233.071155115702,9266.605252588512
2008-01-31,10225.910165517154,9435.575879114376
2008-02-01,10178.038460564167,9587.373763867554
2008-02-04,10161.352388687546,9466.481075588537
2008-02-05,10108.534820861092,9213.026975132007
2008-02-06,10134.893394741424,9138.840818961957
2008-02-07,10163.180411549098,9199.286427368559
2008-02-08,10200.565668457819,9140.21663949728
2008-02-11,10214.195842047018,9186.925378804965
2008-02-12,10157.230064077316,9272.096027270385
2008-02-13,10176.333695403651,9366.885647756542
2008-02-14,10175.303841653458,9284.462961697232
2008-02-15,10158.799733328928,9282.398495161346
2008-02-19,10223.189233816123,9308.497884289669
2008-02-20,10271.76924770796,9335.974565419128
2008-02-21,10269.158509361687,9258.359893904375
2008-02-22,10274.255954523023,9315.366686705582
2008-02-25,10259.550743066025,9432.824973776642
2008-02-26,10289.643747759445,9503.573785807112
2008-02-27,10322.555349701355,9493.957756717999
2008-02-28,10350.923862414427,9401.231867034821
2008-02-29,10342.672645790926,9191.732657616614
2008-03-03,10368.372902389676,9169.75263703228
2008-03-04,10319.877095277181,9134.71924321925
2008-03-05,10392.89687037452,9192.419096418462
2008-03-06,10353.520819585972,9002.153416644296
2008-03-07,10339.204317450243,8909.42679122821
2008-03-10,10327.246503367742,8791.971447088776
2008-03-11,10346.88861868159,9107.935622487794
2008-03-12,10376.792241392912,9022.760559624934
2008-03-13,10415.723884442701,9042.682735269542
2008-03-14,10418.248626300914,8902.558724545206
2008-03-17,10425.880608780582,8812.578590069415
2008-03-18,10384.870192836222,9178.679284387916
2008-03-19,10284.961485430542,8951.328987457151
2008-03-20,10213.987166489178,9117.133755285964
2008-03-24,10226.557029340996,9299.36302452146
2008-03-25,10300.376090821563,9308.336758783124
2008-03-26,10328.961930750074,9194.442361911579
2008-03-27,10311.024400013574,9165.450806727453
2008-03-28,10267.077683242147,9077.78528797579
2008-03-31,10230.486748656165,9109.53878449125
2008-04-01,10156.389501012636,9429.829069381009
2008-04-02,10221.756243822732,9436.037183646804
2008-04-03,10228.284357040462,9459.505591901167
2008-04-04,10255.167397255427,9449.150886973839
2008-04-07,10277.048051210662,9453.980973505593
2008-04-08,10253.47247784656,9444.318593243364
2008-04-09,10301.51836458128,9375.985192345226
2008-04-10,10298.976823755545,9389.095952740638
2008-04-11,10271.21855551055,9206.866683505139
2008-04-14,10263.876366000766,9175.801097257341
2008-04-15,10276.491314570705,9197.201360311286
2008-04-16,10337.078984692867,9446.39041710832
2008-04-17,10316.955860727418,9460.196445100457
