Date,XLP,VIG,USMV,VNQ,XLY,SPY,GLD,EWJ,QLD,EFA,TQQQ,SSO,XLC,QQQ,VT,VSS,EEM,XLU,HYG,AGG,EWT,TLT,SMH,LQD,JNK,XLK,BIL,XLI,FEZ,VGK,IWM,IEF,SHV,XLV,USD,GSG
2007-12-04,17.56541633605957,38.252559661865234,17.77184830745985,29.094970703125,13.497795104980469,103.69786834716797,79.4000015258789,39.82649612426758,1.4850633144378662,45.917320251464844,0.6304762386737095,4.632328510284424,12.789358501467204,43.487247467041016,38.27692304089182,60.68622048551712,34.06493377685547,11.307565689086914,32.13258743286133,58.29944610595703,14.237011909484863,53.5760498046875,13.654614448547363,51.488338470458984,38.78499984741211,10.123698234558105,71.96755981445312,27.08677864074707,34.62656784057617,38.03805160522461,58.165138244628906,55.42438507080078,84.75284576416016,26.179302215576172,0.6540210247039795,48.900001525878906
2007-12-05,17.63799476623535,38.68275833129883,17.8796896210859,30.07427215576172,13.4781494140625,105.43376159667969,78.62999725341797,40.5693244934082,1.5376349687576294,46.44832229614258,0.664443879166444,4.776552200317383,12.927621747535923,44.26822280883789,39.01712547314297,62.18538229707178,35.57783508300781,11.502702713012695,31.754539489746094,58.19055938720703,14.728885650634766,52.93702697753906,14.040987014770508,51.29450607299805,38.79309844970703,10.35732364654541,71.96755981445312,27.532299041748047,34.92911148071289,38.40324783325195,59.321468353271484,55.215885162353516,84.75284576416016,26.38884925842285,0.6911879181861877,49.09000015258789
2007-12-06,17.6319522857666,39.31096267700195,17.937825375496764,31.030668258666992,13.5960054397583,106.9428482055664,79.37000274658203,41.08357238769531,1.5719598531723022,46.8898811340332,0.6930422254835569,4.91005277633667,13.049750187354041,44.90333938598633,39.52768543869923,62.93166199248257,36.13792037963867,11.435054779052734,32.03806686401367,58.12754440307617,14.77442741394043,52.47328567504883,14.2405424118042,50.91655349731445,38.6959114074707,10.46245002746582,71.98323059082031,27.845563888549805,35.31270980834961,38.70512008666992,60.72611618041992,54.925209045410156,84.7450942993164,26.569496154785156,0.7197846174240112,50.5
2007-12-07,17.819459915161133,39.174381256103516,18.02832648317634,30.920848846435547,13.709931373596191,106.92156982421875,78.5999984741211,40.7121696472168,1.5825319290161133,46.70542526245117,0.693438757934288,4.921847343444824,13.111711468889627,44.911903381347656,39.406419136367965,62.484693863968,35.70949172973633,11.494897842407227,32.0223274230957,57.7951774597168,14.646905899047852,51.885162353515625,14.189591407775879,50.48041534423828,38.72021484375,10.47413444519043,72.04613494873047,28.054405212402344,35.19926834106445,38.65156555175781,60.912357330322266,54.57129669189453,84.7374038696289,26.555042266845703,0.7141919136047363,49.93000030517578
2007-12-10,17.837602615356445,39.49532699584961,18.054670739930398,31.58439064025879,13.717777252197266,107.75055694580078,80.0,40.826446533203125,1.5918012857437134,47.186134338378906,0.7017874915629068,4.981896877288818,13.147145010221417,45.09214401245117,39.69797889117392,62.878361910611,35.72063446044922,11.546931266784668,31.975061416625977,57.68058395385742,14.492055892944336,51.57415008544922,14.304227828979492,50.514278411865234,38.90646743774414,10.524751663208008,71.99901580810547,28.186674118041992,35.577457427978516,39.09953689575195,61.39351272583008,54.444942474365234,84.76827239990234,26.605613708496094,0.7259185314178467,49.4900016784668
2007-12-11,17.644046783447266,38.51203536987305,17.816967168566052,29.918684005737305,13.27780532836914,104.79608917236328,78.83999633789062,39.940765380859375,1.5231519937515259,45.95645523071289,0.6529004663457665,4.718109130859375,12.834166520894158,44.04509353637695,38.53674116197732,60.82994176106416,34.207740783691406,11.278944969177246,31.943567276000977,57.961341857910156,13.981966972351074,52.58638381958008,14.03249454498291,51.0037727355957,38.874053955078125,10.361212730407715,72.09326171875,27.288652420043945,34.60494613647461,38.07700729370117,59.25161361694336,55.19057083129883,84.85315704345703,26.193744659423828,0.6986755728721619,50.02000045776367
2007-12-12,17.69243812561035,38.79199981689453,17.84631573152731,29.818008422851562,13.321013450622559,105.8304672241211,80.48999786376953,40.25504684448242,1.5435734987258911,46.87870788574219,0.6704574596634014,4.801213264465332,12.965981490303871,44.43989562988281,39.15140591787276,62.29250216419196,35.23419952392578,11.281551361083984,32.11681365966797,57.904022216796875,14.082162857055664,52.04352951049805,14.232050895690918,50.84381103515625,38.77687072753906,10.540328025817871,72.07752990722656,27.636720657348633,35.35053634643555,38.86094284057617,59.686195373535156,54.7292594909668,84.82997131347656,26.20819854736328,0.7095006704330444,51.779998779296875
2007-12-13,17.77107048034668,38.81931686401367,17.88105271188698,29.4793758392334,13.234597206115723,105.6108627319336,78.5,39.426517486572266,1.5208351612091064,45.92292785644531,0.6595801854000687,4.799605846405029,12.890396493826266,44.19956970214844,38.705836263760915,60.84560994347609,34.26575469970703,11.44806957244873,32.10106658935547,57.68058395385742,13.57206916809082,51.478023529052734,14.08344554901123,50.55305480957031,38.78499984741211,10.48581600189209,72.10895538330078,27.775949478149414,34.82646560668945,38.15003204345703,59.36025619506836,54.32488250732422,84.82997131347656,26.193744659423828,0.6995776891708374,51.650001525878906
2007-12-14,17.553319931030273,38.3754768371582,17.63585866157321,28.738040924072266,13.061749458312988,104.27175903320312,78.5199966430664,37.88374328613281,1.4975178241729736,44.68205642700195,0.6392163234835786,4.660206317901611,12.765532081273705,43.74469757080078,37.983773870116316,59.27907186165385,33.449058532714844,11.234712600708008,32.1483268737793,57.520111083984375,13.353460311889648,51.240501403808594,13.8711519241333,49.98123550415039,38.78499984741211,10.4196195602417,72.06179809570312,27.469648361206055,33.924198150634766,37.229774475097656,58.20393753051758,54.166927337646484,84.8145523071289,25.796335220336914,0.6765738129615784,51.5
2007-12-17,17.43233871459961,37.86334991455078,17.481221014099336,27.850278854370117,12.939967155456543,102.78385162353516,78.12999725341797,37.226627349853516,1.4288703203201294,43.73185729980469,0.5925639517206082,4.51169490814209,12.584380358384497,42.68048095703125,37.2004636697839,57.51191295658131,32.02317810058594,11.130640029907227,31.975061416625977,57.60605239868164,12.606538772583008,51.698577880859375,13.654614448547363,50.4658203125,38.8173828125,10.221044540405273,72.09326171875,26.97539710998535,33.29206085205078,36.543212890625,57.31145095825195,54.48920440673828,84.79148864746094,25.521745681762695,0.6494208574295044,50.47999954223633
