Strategy,Total_Return_%,CAGR_%,Sharpe,Sortino,Max_DD_%,Calmar,Win_Rate_%,Beta,Alpha_%,Best_Year_%,Best_Year,Worst_Year_%,Worst_Year
Buy_Hold_SPY,906.19,10.77,0.565,0.525,-54.61,0.197,57.33,1.0,-0.0,33.94,2013,-39.4,2008
Sys_E_Original,49921.44,31.69,1.213,1.338,-26.78,1.184,58.43,0.533,24.027,184.02,2020,-20.82,2022
Sys_E_Trap_Regime,12161.68,23.74,1.09,1.224,-34.17,0.695,57.16,0.438,18.067,151.04,2020,-25.41,2022
Sys_E_Trap_Full_Tiers,11027.8,23.21,1.073,1.2,-32.1,0.723,57.16,0.434,17.663,144.01,2020,-25.41,2022
