,Regime
2021-05-11,BROAD_BULL
2021-05-12,BROAD_BULL
2021-05-13,BROAD_BULL
2021-05-14,BROAD_BULL
2021-05-17,BROAD_BULL
2021-05-18,BROAD_BULL
2021-05-19,BROAD_BULL
2021-05-20,BROAD_BULL
2021-05-21,BROAD_BULL
2021-05-24,BROAD_BULL
2021-05-25,BROAD_BULL
2021-05-26,BROAD_BULL
2021-05-27,BROAD_BULL
2021-05-28,BROAD_BULL
2021-06-01,BROAD_BULL
2021-06-02,BROAD_BULL
2021-06-03,BROAD_BULL
2021-06-04,BROAD_BULL
2021-06-07,BROAD_BULL
2021-06-08,BROAD_BULL
2021-06-09,BROAD_BULL
2021-06-10,BROAD_BULL
2021-06-11,BROAD_BULL
2021-06-14,BROAD_BULL
2021-06-15,BROAD_BULL
2021-06-16,BROAD_BULL
2021-06-17,BROAD_BULL
2021-06-18,BROAD_BULL
2021-06-21,BROAD_BULL
2021-06-22,BROAD_BULL
2021-06-23,BROAD_BULL
2021-06-24,BROAD_BULL
2021-06-25,BROAD_BULL
2021-06-28,BROAD_BULL
2021-06-29,BROAD_BULL
2021-06-30,BROAD_BULL
2021-07-01,BROAD_BULL
2021-07-02,BROAD_BULL
2021-07-06,BROAD_BULL
2021-07-07,BROAD_BULL
2021-07-08,BROAD_BULL
2021-07-09,BROAD_BULL
2021-07-12,BROAD_BULL
2021-07-13,BROAD_BULL
2021-07-14,BROAD_BULL
2021-07-15,BROAD_BULL
2021-07-16,BROAD_BULL
2021-07-19,BROAD_BULL
2021-07-20,BROAD_BULL
2021-07-21,BROAD_BULL
2021-07-22,BROAD_BULL
2021-07-23,BROAD_BULL
2021-07-26,BROAD_BULL
2021-07-27,BROAD_BULL
2021-07-28,BROAD_BULL
2021-07-29,BROAD_BULL
2021-07-30,BROAD_BULL
2021-08-02,BROAD_BULL
2021-08-03,BROAD_BULL
2021-08-04,BROAD_BULL
2021-08-05,BROAD_BULL
2021-08-06,BROAD_BULL
2021-08-09,BROAD_BULL
2021-08-10,BROAD_BULL
2021-08-11,BROAD_BULL
2021-08-12,BROAD_BULL
2021-08-13,BROAD_BULL
2021-08-16,BROAD_BULL
2021-08-17,BROAD_BULL
2021-08-18,BROAD_BULL
2021-08-19,BROAD_BULL
2021-08-20,BROAD_BULL
2021-08-23,BROAD_BULL
2021-08-24,BROAD_BULL
2021-08-25,BROAD_BULL
2021-08-26,BROAD_BULL
2021-08-27,US_BULL
2021-08-30,US_BULL
2021-08-31,US_BULL
2021-09-01,US_BULL
2021-09-02,US_BULL
2021-09-03,US_BULL
2021-09-07,US_BULL
2021-09-08,US_BULL
2021-09-09,US_BULL
2021-09-10,US_BULL
2021-09-13,US_BULL
2021-09-14,US_BULL
2021-09-15,US_BULL
2021-09-16,US_BULL
2021-09-17,US_BULL
2021-09-20,US_BULL
2021-09-21,US_BULL
2021-09-22,US_BULL
2021-09-23,US_BULL
2021-09-24,US_BULL
2021-09-27,US_BULL
2021-09-28,US_BULL
2021-09-29,US_BULL
2021-09-30,US_BULL
2021-10-01,US_BULL
2021-10-04,US_BULL
2021-10-05,US_BULL
2021-10-06,US_BULL
2021-10-07,US_BULL
2021-10-08,US_BULL
2021-10-11,US_BULL
