,Regime
2024-06-21,US_BULL
2024-06-24,US_BULL
2024-06-25,US_BULL
2024-06-26,US_BULL
2024-06-27,US_BULL
2024-06-28,US_BULL
2024-07-01,US_BULL
2024-07-02,US_BULL
2024-07-03,US_BULL
2024-07-05,US_BULL
2024-07-08,US_BULL
2024-07-09,US_BULL
2024-07-10,US_BULL
2024-07-11,US_BULL
2024-07-12,US_BULL
2024-07-15,US_BULL
2024-07-16,US_BULL
2024-07-17,US_BULL
2024-07-18,US_BULL
2024-07-19,BROAD_BULL
2024-07-22,BROAD_BULL
2024-07-23,BROAD_BULL
2024-07-24,BROAD_BULL
2024-07-25,BROAD_BULL
2024-07-26,BROAD_BULL
2024-07-29,BROAD_BULL
2024-07-30,BROAD_BULL
2024-07-31,BROAD_BULL
2024-08-01,BROAD_BULL
2024-08-02,BROAD_BULL
2024-08-05,BROAD_BULL
2024-08-06,BROAD_BULL
2024-08-07,BROAD_BULL
2024-08-08,BROAD_BULL
2024-08-09,MIXED
2024-08-12,MIXED
2024-08-13,MIXED
2024-08-14,MIXED
2024-08-15,MIXED
2024-08-16,BROAD_BULL
2024-08-19,BROAD_BULL
2024-08-20,BROAD_BULL
2024-08-21,BROAD_BULL
2024-08-22,BROAD_BULL
2024-08-23,BROAD_BULL
2024-08-26,BROAD_BULL
2024-08-27,BROAD_BULL
2024-08-28,BROAD_BULL
2024-08-29,BROAD_BULL
2024-08-30,BROAD_BULL
2024-09-03,BROAD_BULL
2024-09-04,BROAD_BULL
2024-09-05,BROAD_BULL
2024-09-06,MIXED
2024-09-09,MIXED
2024-09-10,MIXED
2024-09-11,MIXED
2024-09-12,MIXED
2024-09-13,BROAD_BULL
2024-09-16,BROAD_BULL
2024-09-17,BROAD_BULL
2024-09-18,BROAD_BULL
2024-09-19,BROAD_BULL
2024-09-20,BROAD_BULL
2024-09-23,BROAD_BULL
2024-09-24,BROAD_BULL
2024-09-25,BROAD_BULL
2024-09-26,BROAD_BULL
2024-09-27,US_BULL
2024-09-30,US_BULL
2024-10-01,US_BULL
2024-10-02,US_BULL
2024-10-03,US_BULL
2024-10-04,BROAD_BULL
2024-10-07,BROAD_BULL
2024-10-08,BROAD_BULL
2024-10-09,BROAD_BULL
2024-10-10,BROAD_BULL
2024-10-11,BROAD_BULL
2024-10-14,BROAD_BULL
2024-10-15,BROAD_BULL
2024-10-16,BROAD_BULL
2024-10-17,BROAD_BULL
2024-10-18,US_BULL
2024-10-21,US_BULL
2024-10-22,US_BULL
2024-10-23,US_BULL
2024-10-24,US_BULL
2024-10-25,US_BULL
2024-10-28,US_BULL
2024-10-29,US_BULL
2024-10-30,US_BULL
2024-10-31,US_BULL
2024-11-01,BROAD_BULL
2024-11-04,BROAD_BULL
2024-11-05,BROAD_BULL
2024-11-06,BROAD_BULL
2024-11-07,BROAD_BULL
2024-11-08,US_BULL
2024-11-11,US_BULL
2024-11-12,US_BULL
2024-11-13,US_BULL
2024-11-14,US_BULL
2024-11-15,BROAD_BULL
2024-11-18,BROAD_BULL
2024-11-19,BROAD_BULL
2024-11-20,BROAD_BULL
2024-11-21,BROAD_BULL
2024-11-22,BROAD_BULL
2024-11-25,BROAD_BULL
2024-11-26,BROAD_BULL
2024-11-27,BROAD_BULL
2024-11-29,BROAD_BULL
2024-12-02,BROAD_BULL
2024-12-03,BROAD_BULL
2024-12-04,BROAD_BULL
2024-12-05,BROAD_BULL
2024-12-06,BROAD_BULL
2024-12-09,BROAD_BULL
2024-12-10,BROAD_BULL
2024-12-11,BROAD_BULL
2024-12-12,BROAD_BULL
2024-12-13,BROAD_BULL
2024-12-16,BROAD_BULL
2024-12-17,BROAD_BULL
2024-12-18,BROAD_BULL
2024-12-19,BROAD_BULL
2024-12-20,BROAD_BULL
2024-12-23,BROAD_BULL
2024-12-24,BROAD_BULL
2024-12-26,BROAD_BULL
2024-12-27,BROAD_BULL
2024-12-30,BROAD_BULL
2024-12-31,BROAD_BULL
2025-01-02,BROAD_BULL
2025-01-03,BROAD_BULL
2025-01-06,BROAD_BULL
2025-01-07,BROAD_BULL
2025-01-08,BROAD_BULL
2025-01-09,BROAD_BULL
2025-01-10,MIXED
2025-01-13,MIXED
2025-01-14,MIXED
2025-01-15,MIXED
2025-01-16,MIXED
2025-01-17,US_BULL
2025-01-21,US_BULL
2025-01-22,US_BULL
2025-01-23,US_BULL
2025-01-24,US_BULL
2025-01-27,US_BULL
2025-01-28,US_BULL
2025-01-29,US_BULL
2025-01-30,US_BULL
2025-01-31,US_BULL
2025-02-03,US_BULL
2025-02-04,US_BULL
2025-02-05,US_BULL
2025-02-06,US_BULL
2025-02-07,US_BULL
2025-02-10,US_BULL
2025-02-11,US_BULL
2025-02-12,US_BULL
2025-02-13,US_BULL
2025-02-14,US_BULL
2025-02-18,US_BULL
2025-02-19,US_BULL
2025-02-20,US_BULL
2025-02-21,US_BULL
2025-02-24,US_BULL
2025-02-25,US_BULL
2025-02-26,US_BULL
2025-02-27,US_BULL
2025-02-28,US_BULL
2025-03-03,US_BULL
2025-03-04,US_BULL
2025-03-05,US_BULL
2025-03-06,US_BULL
2025-03-07,MIXED
2025-03-10,MIXED
2025-03-11,MIXED
2025-03-12,MIXED
2025-03-13,MIXED
2025-03-14,INFLATION
2025-03-17,INFLATION
2025-03-18,INFLATION
2025-03-19,INFLATION
2025-03-20,INFLATION
2025-03-21,INFLATION
2025-03-24,INFLATION
2025-03-25,INFLATION
2025-03-26,INFLATION
2025-03-27,INFLATION
2025-03-28,INFLATION
2025-03-31,INFLATION
2025-04-01,INFLATION
2025-04-02,INFLATION
2025-04-03,INFLATION
2025-04-04,RISK_OFF
2025-04-07,RISK_OFF
2025-04-08,RISK_OFF
2025-04-09,RISK_OFF
2025-04-10,RISK_OFF
2025-04-11,RISK_OFF
2025-04-14,RISK_OFF
2025-04-15,RISK_OFF
2025-04-16,RISK_OFF
2025-04-17,INFLATION
2025-04-21,INFLATION
2025-04-22,INFLATION
2025-04-23,INFLATION
2025-04-24,INFLATION
2025-04-25,INFLATION
2025-04-28,INFLATION
2025-04-29,INFLATION
2025-04-30,INFLATION
2025-05-01,INFLATION
2025-05-02,INFLATION
2025-05-05,INFLATION
2025-05-06,INFLATION
2025-05-07,INFLATION
2025-05-08,INFLATION
2025-05-09,INFLATION
2025-05-12,INFLATION
2025-05-13,INFLATION
2025-05-14,INFLATION
2025-05-15,INFLATION
2025-05-16,US_BULL
2025-05-19,US_BULL
2025-05-20,US_BULL
2025-05-21,US_BULL
2025-05-22,US_BULL
2025-05-23,US_BULL
2025-05-26,US_BULL
2025-05-27,US_BULL
2025-05-28,US_BULL
2025-05-29,US_BULL
2025-05-30,US_BULL
2025-06-02,US_BULL
2025-06-03,US_BULL
2025-06-04,US_BULL
2025-06-05,US_BULL
2025-06-06,US_BULL
2025-06-09,US_BULL
2025-06-10,US_BULL
2025-06-11,US_BULL
2025-06-12,US_BULL
2025-06-13,US_BULL
2025-06-16,US_BULL
2025-06-17,US_BULL
2025-06-18,US_BULL
2025-06-20,US_BULL
2025-06-23,US_BULL
2025-06-24,US_BULL
2025-06-25,US_BULL
2025-06-26,US_BULL
2025-06-27,US_BULL
2025-06-30,US_BULL
2025-07-01,US_BULL
2025-07-02,US_BULL
2025-07-03,US_BULL
2025-07-07,US_BULL
2025-07-08,US_BULL
2025-07-09,US_BULL
2025-07-10,US_BULL
2025-07-11,US_BULL
2025-07-14,US_BULL
2025-07-15,US_BULL
2025-07-16,US_BULL
2025-07-17,US_BULL
2025-07-18,US_BULL
2025-07-21,US_BULL
2025-07-22,US_BULL
2025-07-23,US_BULL
2025-07-24,US_BULL
2025-07-25,US_BULL
2025-07-28,US_BULL
2025-07-29,US_BULL
2025-07-30,US_BULL
2025-07-31,US_BULL
2025-08-01,US_BULL
2025-08-04,US_BULL
2025-08-05,US_BULL
2025-08-06,US_BULL
2025-08-07,US_BULL
2025-08-08,US_BULL
2025-08-11,US_BULL
2025-08-12,US_BULL
2025-08-13,US_BULL
2025-08-14,US_BULL
2025-08-15,US_BULL
2025-08-18,US_BULL
2025-08-19,US_BULL
2025-08-20,US_BULL
2025-08-21,US_BULL
2025-08-22,US_BULL
2025-08-25,US_BULL
2025-08-26,US_BULL
2025-08-27,US_BULL
2025-08-28,US_BULL
2025-08-29,US_BULL
2025-09-02,US_BULL
2025-09-03,US_BULL
2025-09-04,US_BULL
2025-09-05,US_BULL
2025-09-08,US_BULL
2025-09-09,US_BULL
2025-09-10,US_BULL
2025-09-11,US_BULL
2025-09-12,US_BULL
2025-09-15,US_BULL
2025-09-16,US_BULL
2025-09-17,US_BULL
2025-09-18,US_BULL
2025-09-19,US_BULL
2025-09-22,US_BULL
2025-09-23,US_BULL
2025-09-24,US_BULL
2025-09-25,US_BULL
2025-09-26,US_BULL
2025-09-29,US_BULL
2025-09-30,US_BULL
2025-10-01,US_BULL
2025-10-02,US_BULL
2025-10-03,US_BULL
2025-10-06,US_BULL
2025-10-07,US_BULL
2025-10-08,US_BULL
2025-10-09,US_BULL
2025-10-10,US_BULL
2025-10-13,US_BULL
2025-10-14,US_BULL
2025-10-15,US_BULL
2025-10-16,US_BULL
2025-10-17,US_BULL
2025-10-20,US_BULL
2025-10-21,US_BULL
2025-10-22,US_BULL
2025-10-23,US_BULL
2025-10-24,US_BULL
2025-10-27,US_BULL
2025-10-28,US_BULL
2025-10-29,US_BULL
2025-10-30,US_BULL
2025-10-31,US_BULL
2025-11-03,US_BULL
2025-11-04,US_BULL
2025-11-05,US_BULL
2025-11-06,US_BULL
2025-11-07,US_BULL
2025-11-10,US_BULL
2025-11-11,US_BULL
2025-11-12,US_BULL
2025-11-13,US_BULL
2025-11-14,US_BULL
2025-11-17,US_BULL
2025-11-18,US_BULL
2025-11-19,US_BULL
2025-11-20,US_BULL
2025-11-21,US_BULL
2025-11-24,US_BULL
2025-11-25,US_BULL
2025-11-26,US_BULL
2025-11-28,US_BULL
2025-12-01,US_BULL
2025-12-02,US_BULL
2025-12-03,US_BULL
2025-12-04,US_BULL
2025-12-05,US_BULL
2025-12-08,US_BULL
2025-12-09,US_BULL
2025-12-10,US_BULL
2025-12-11,US_BULL
2025-12-12,US_BULL
2025-12-15,US_BULL
2025-12-16,US_BULL
2025-12-17,US_BULL
2025-12-18,US_BULL
2025-12-19,US_BULL
2025-12-22,US_BULL
2025-12-23,US_BULL
2025-12-24,US_BULL
2025-12-26,US_BULL
2025-12-29,US_BULL
2025-12-30,US_BULL
2025-12-31,US_BULL
2026-01-02,US_BULL
2026-01-05,US_BULL
2026-01-06,US_BULL
2026-01-07,US_BULL
2026-01-08,US_BULL
2026-01-09,US_BULL
2026-01-12,US_BULL
2026-01-13,US_BULL
2026-01-14,US_BULL
2026-01-15,US_BULL
2026-01-16,US_BULL
2026-01-20,US_BULL
2026-01-21,US_BULL
2026-01-22,US_BULL
2026-01-23,US_BULL
2026-01-26,US_BULL
2026-01-27,US_BULL
2026-01-28,US_BULL
2026-01-29,US_BULL
2026-01-30,US_BULL
2026-02-02,US_BULL
2026-02-03,US_BULL
2026-02-04,US_BULL
2026-02-05,US_BULL
2026-02-06,BROAD_BULL
2026-02-09,BROAD_BULL
2026-02-10,BROAD_BULL
2026-02-11,BROAD_BULL
2026-02-12,BROAD_BULL
2026-02-13,BROAD_BULL
2026-02-17,BROAD_BULL
2026-02-18,BROAD_BULL
2026-02-19,BROAD_BULL
2026-02-20,BROAD_BULL
2026-02-23,BROAD_BULL
2026-02-24,BROAD_BULL
2026-02-25,BROAD_BULL
2026-02-26,BROAD_BULL
2026-02-27,BROAD_BULL
2026-03-02,BROAD_BULL
2026-03-03,BROAD_BULL
2026-03-04,BROAD_BULL
2026-03-05,BROAD_BULL
2026-03-06,US_BULL
2026-03-09,US_BULL
2026-03-10,US_BULL
2026-03-11,US_BULL
2026-03-12,US_BULL
2026-03-13,US_BULL
2026-03-16,US_BULL
2026-03-17,US_BULL
2026-03-18,US_BULL
2026-03-19,US_BULL
2026-03-20,INFLATION
2026-03-23,INFLATION
2026-03-24,INFLATION
2026-03-25,INFLATION
2026-03-26,INFLATION
2026-03-27,INFLATION
2026-03-30,INFLATION
2026-03-31,INFLATION
2026-04-01,INFLATION
2026-04-02,INFLATION
2026-04-06,INFLATION
2026-04-07,INFLATION
2026-04-08,INFLATION
2026-04-09,INFLATION
2026-04-10,BROAD_BULL
2026-04-13,BROAD_BULL
2026-04-14,BROAD_BULL
2026-04-15,BROAD_BULL
2026-04-16,BROAD_BULL
2026-04-17,US_BULL
2026-04-20,US_BULL
2026-04-21,US_BULL
2026-04-22,US_BULL
2026-04-23,US_BULL
2026-04-24,US_BULL
2026-04-27,US_BULL
2026-04-28,US_BULL
2026-04-29,US_BULL
2026-04-30,US_BULL
2026-05-01,US_BULL
2026-05-04,US_BULL
2026-05-05,US_BULL
2026-05-06,US_BULL
2026-05-07,US_BULL
2026-05-08,US_BULL
2026-05-11,US_BULL
2026-05-12,US_BULL
2026-05-13,US_BULL
2026-05-14,US_BULL
2026-05-15,US_BULL
2026-05-18,US_BULL
2026-05-19,US_BULL
2026-05-20,US_BULL
2026-05-21,US_BULL
2026-05-22,US_BULL
2026-05-25,US_BULL
2026-05-26,US_BULL
2026-05-27,US_BULL
2026-05-28,US_BULL
2026-05-29,US_BULL
