Metric,Dynamic_Strategy
Calendar Year Win Rate vs SPY,0.14285714285714285
Monthly Win Rate vs SPY,0.3684210526315789
Rolling 1Y Win Rate vs SPY,0.2001510574018127
Rolling 3Y Win Rate vs SPY,0.0
Rolling 5Y Win Rate vs SPY,0.0
Average Monthly Turnover,0.5697008430166326
