,Dynamic_Strategy,SPY,Fixed_Fund
CAGR,0.08997928733470961,0.17527347694816564,0.14387127861144844
Volatility,0.10742003525261508,0.16880348176908544,0.1184178451327688
Sharpe,0.6697819449948653,0.9228572035848103,1.0257622952442877
Sortino,0.862189669280664,1.2456189823365658,1.3784352136217979
Max_Drawdown,-0.14931664409036982,-0.24496387071508752,-0.13482820201026757
Calmar,0.6026072169171717,0.7155074600859106,1.0670711057950042
Final_Value,171517.9146613146,274918.0994675617,232034.29968776487
