Date,SPY,QQQ,GMOM,RLY,DBMF,SGOV
2020-06-01,280.1524658203125,225.80067443847656,19.736156463623047,15.671690940856934,17.90792465209961,84.33800506591797
2020-06-02,282.4721374511719,227.31527709960938,19.588735580444336,15.856407165527344,17.779037475585938,84.34052276611328
2020-06-03,286.2314453125,228.33787536621094,19.583646774291992,16.048521041870117,17.56279945373535,84.34221649169922
2020-06-04,285.4796142578125,226.73643493652344,19.553152084350586,16.04113006591797,17.492630004882812,84.34221649169922
2020-06-05,292.7962646484375,231.23199462890625,19.455713272094727,16.36623764038086,17.492630004882812,84.33800506591797
2020-06-08,296.3354187011719,233.02633666992188,19.605676651000977,16.580514907836914,17.592870712280273,84.33800506591797
2020-06-09,294.12579345703125,234.71463012695312,19.705657958984375,16.4475154876709,17.57854652404785,84.33800506591797
2020-06-10,292.4844970703125,237.53160095214844,19.860708236694336,16.38101577758789,17.62151336669922,84.34221649169922
2020-06-11,275.62310791015625,225.76210021972656,19.794620513916016,15.64952564239502,17.571388244628906,84.34221649169922
2020-06-12,278.923828125,227.55641174316406,19.681928634643555,15.804688453674316,17.592870712280273,84.34221649169922
2020-06-15,281.5278015136719,230.32518005371094,19.66075325012207,15.878576278686523,17.592870712280273,84.34221649169922
2020-06-16,286.9465026855469,234.2805633544922,19.69040870666504,15.99679946899414,17.557069778442383,84.34221649169922
2020-06-17,285.754638671875,235.02330017089844,19.74293327331543,15.937688827514648,17.486183166503906,84.3464584350586
2020-06-18,285.8645935058594,235.6600341796875,19.700572967529297,15.922910690307617,17.428184509277344,84.34983825683594
2020-06-19,284.23095703125,235.62147521972656,19.842910766601562,15.871187210083008,17.523414611816406,84.35066223144531
2020-06-22,286.05438232421875,238.44720458984375,19.817495346069336,15.967243194580078,17.57854652404785,84.3464584350586
2020-06-23,287.3713073730469,240.4766082763672,19.9157772064209,16.024580001831055,17.53558921813965,84.3464584350586
2020-06-24,280.0408020019531,235.5189971923828,19.816648483276367,15.682048797607422,17.473297119140625,84.3464584350586
2020-06-25,283.04296875,237.76100158691406,19.847145080566406,15.734170913696289,17.524850845336914,84.3464584350586
2020-06-26,276.3203125,232.1462860107422,19.73161506652832,15.570347785949707,17.54991340637207,84.34221649169922
2020-06-29,280.3815002441406,234.67825317382812,19.96013069152832,15.719279289245605,17.564945220947266,84.35066223144531
2020-06-30,283.9731140136719,239.27828979492188,20.03064727783203,15.830973625183105,17.642995834350586,84.35066223144531
2020-07-01,285.9623107910156,242.0710906982422,19.892181396484375,15.883098602294922,17.529146194458008,84.34729766845703
2020-07-02,287.5370178222656,243.7139892578125,19.861591339111328,15.942669868469238,17.539169311523438,84.35234069824219
2020-07-06,291.9757995605469,249.70565795898438,19.929553985595703,16.046916961669922,17.656600952148438,84.34729766845703
2020-07-07,288.96441650390625,247.98545837402344,19.921056747436523,15.897995948791504,17.71674346923828,84.34729766845703
