Strategy,Start,End,Years,Total Return %,CAGR %,Volatility %,Sharpe,Sortino,Max Drawdown %,Calmar,Positive Months %,Monthly Win vs SPY %,Best Year %,Worst Year %,Final Equity
NTSX,2020-06-01,2026-05-25,5.97,77.36,10.07,12.84,0.656,0.925,-19.13,0.526,65.28,33.33,18.21,-16.09,177359.91
Platinum,2020-06-01,2026-05-25,5.97,179.19,18.76,16.67,0.995,1.241,-21.33,0.879,65.28,51.39,36.39,-17.62,279193.71
F-TAA Weekly,2020-06-01,2026-05-25,5.97,67.86,9.06,10.55,0.685,0.876,-14.93,0.607,70.83,36.11,14.33,-7.41,167862.48
SPY,2020-06-01,2026-05-25,5.97,165.47,17.76,17.05,0.927,1.249,-24.5,0.725,66.67,0.0,28.73,-18.18,265471.13
