Strategy,Start,End,Years,Total Return %,CAGR %,Volatility %,Sharpe,Sortino,Max Drawdown %,Calmar,Positive Months %,Monthly Win vs SPY %,Best Year %,Worst Year %,Final Equity
NTSX,2007-12-04,2026-09-16,18.77,393.26,8.88,12.27,0.592,0.774,-30.83,0.288,65.04,41.15,25.48,-12.61,499307.7
Platinum Proxy-Aware,2007-12-04,2026-09-16,18.77,964.61,13.43,15.4,0.766,0.937,-26.35,0.51,62.83,48.67,42.99,-23.95,1064607.16
F-TAA Stitched,2007-12-04,2026-09-16,18.77,232.97,6.62,11.76,0.434,0.541,-23.04,0.287,63.27,38.5,27.23,-14.66,339909.62
SPY,2007-12-04,2026-09-16,18.77,627.16,11.15,19.72,0.533,0.652,-53.89,0.207,66.37,0.0,32.31,-36.79,700449.67
