,Portfolio,Start,End,Years,Total Return %,CAGR %,Volatility %,Sharpe,Sortino,Max Drawdown %,Calmar,Positive Months %,Best Year %,Worst Year %,Final Equity,NTSX %,Platinum %,F-TAA %
best_cagr,grid,2007-12-05,2026-08-20,18.69,982.42,13.59,15.41,0.775,0.948,-26.35,0.516,63.11,42.99,-23.95,1082419.85,0.0,100.0,0.0
best_dd,grid,2007-12-05,2026-08-20,18.69,597.95,10.96,13.12,0.706,0.889,-19.14,0.573,63.11,30.65,-17.67,698010.84,2.0,60.0,38.0
best_calmar,grid,2007-12-05,2026-08-20,18.69,628.9,11.22,12.32,0.762,0.985,-19.49,0.576,65.33,28.02,-17.94,730045.74,36.0,52.0,12.0
best_sharpe,grid,2007-12-05,2026-08-20,18.69,815.16,12.58,13.58,0.794,0.993,-23.16,0.543,63.56,35.31,-21.24,916114.22,24.0,76.0,0.0
