Date,VOO,IVV,SPY,VTI,QQQ,VEA,VUG,GLD,IEFA,VTV,BND,IEMG,AGG,VXUS,VWO,IWF,VGT,IJH,SPYM,VIG,VO,IJR,XLK,RSP,SCHD,IAU,ITOT,EFA,BNDX,VYM,SGOV,IWM,VB,QQQM,IWD,VT,VCIT,IVW,SCHX,VEU,SCHF,IXUS,IBIT,SCHG,XLF,QUAL,IVE,IWR,SMH,IEF,VV,SLV,IWB,TLT,SPYG,JEPI,DIA,BSV,BIL,MUB,DFAC,XLV,VTEB,VCSH,VGIT,MBB,VONG,SCHB,SPDW,DGRO,JPST,XLE,VNQ,IUSB,GOVT,GDX,JEPQ,VBR,GLDM,DYNF,SPYV,VGK,XLI,EFV,LQD,CGDV,EEM,MGK,IDEV,ACWI,OEF,BIV,TQQQ,VGSH,IUSG,JAAA,VXF,XLC,USHY,MDY
2007-01-03,,99.18688201904295,99.12417602539062,49.42155456542969,37.07958984375,,7.892932891845703,62.27999877929688,,41.076473236083984,,,55.28306198120117,,23.047218322753903,11.13366413116455,5.595985889434815,12.202128410339355,11.392196655273438,36.61642837524414,13.629555702209473,25.32453727722168,9.070393562316896,34.612144470214844,,12.460000038146973,22.178226470947266,41.73823928833008,,28.639598846435547,,60.42142105102539,51.31441879272461,,53.28033447265625,,,12.736717224121094,,,,,,,20.556060791015625,,49.326961517333984,18.5795955657959,14.253281593322754,50.64810943603516,44.33911895751953,12.55799961090088,55.17938232421875,48.79680252075195,10.552836418151855,,81.13337707519531,,,,,24.009227752685547,,,,,,,,,,15.876663208007812,34.600486755371094,,,32.70761489868164,,47.38379287719727,,,12.866947174072266,33.80818176269531,24.34613609313965,34.4794807434082,49.66509246826172,,25.8261661529541,,,,46.22368240356445,,,,17.884122848510742,,39.6103744506836,,,115.90868377685548
2007-01-04,,99.45298767089844,99.33453369140624,49.520416259765625,37.78276824951172,,7.9447808265686035,61.650001525878906,,40.94963836669922,,,55.3992919921875,,22.79574203491211,11.196208000183104,5.698059558868408,12.188525199890137,11.446905136108398,36.65034484863281,13.614524841308594,25.305315017700195,9.210355758666992,34.6633415222168,,12.343999862670898,22.307201385498047,41.6190071105957,,28.56760597229004,,60.5837516784668,51.38966369628906,,53.15747833251953,,,12.772112846374512,,,,,,,20.48925018310547,,49.29490661621094,18.58331680297852,14.516520500183104,50.83192825317383,44.501502990722656,12.579999923706056,55.258392333984375,49.09269714355469,10.630080223083496,,81.27027130126953,,,,,24.28156280517578,,,,,,,,,,15.587634086608888,34.645362854003906,,,32.10334014892578,,47.3704833984375,,,12.879327774047852,33.74402618408203,24.24247932434082,34.39860153198242,50.03836441040039,,25.469532012939453,,,,46.342620849609375,,,,17.995479583740234,,39.71120834350586,,,116.04265594482422
2007-01-05,,98.68962097167967,98.54219818115234,49.12846755981445,37.602664947509766,,7.890203952789307,60.16999816894531,,40.63564300537109,,,55.36053466796875,,22.159650802612305,11.12155532836914,5.65446662902832,12.050923347473145,11.381603240966797,36.38568878173828,13.529955863952637,25.02478790283203,9.136481285095217,34.42928695678711,,12.041999816894531,22.12345314025879,40.99443817138672,,28.36825561523437,,59.315948486328125,50.54684448242188,,52.73706817626953,,,12.7249116897583,,,,,,,20.327783584594727,,48.84624099731445,18.45514297485352,14.37216091156006,50.66649627685547,44.219085693359375,12.175000190734863,54.92789459228516,48.87904357910156,10.570660591125488,,80.65758514404297,,,,,24.14539909362793,,,,,,,,,,15.691457748413086,34.0037727355957,,,31.66928100585937,,46.48659896850586,,,12.787985801696776,33.250484466552734,24.159543991088867,33.832523345947266,50.00569152832031,,24.724842071533203,,,,46.02771759033203,,,,17.86027717590332,,39.30780792236328,,,114.73453521728516
2007-01-08,,99.10282135009766,98.99799346923828,49.30857467651367,37.628395080566406,,7.929769515991211,60.47999954223633,,40.78055191040039,,,55.39374542236328,,22.40224838256836,11.169977188110352,5.661907196044922,12.072093963623049,11.41866397857666,36.494285583496094,13.539344787597656,25.009424209594727,9.163702011108398,34.50243377685547,,12.107999801635742,22.1640853881836,41.05120468139648,,28.37380027770996,,59.08403396606445,50.72745132446289,,52.91815948486328,,,12.7426176071167,,,,,,,20.416866302490234,,49.00005722045898,18.475584030151367,14.461322784423828,50.70328903198242,44.28265380859375,12.218000411987305,55.08597946166992,48.96664810180664,10.602346420288086,,80.91826629638672,,,,,24.17406272888184,,,,,,,,,,15.691457748413086,34.053131103515625,,,31.74587631225586,,46.5862922668457,,,12.811206817626951,33.20112228393555,24.249380111694336,33.913387298583984,49.99169921875,,24.90428924560547,,,,46.15367889404297,,,,17.907983779907227,,39.32720565795898,,,114.75035095214844
2007-01-09,,99.0187759399414,98.9138412475586,49.30857467651367,37.81705856323242,,7.928406238555908,60.84999847412109,,40.7383041381836,,,55.39374542236328,,21.86675453186035,11.184103965759276,5.692741394042969,12.12502098083496,11.42043399810791,36.5485725402832,13.576932907104492,25.059364318847656,9.175366401672363,34.54631805419922,,12.187999725341797,22.167633056640625,41.09095764160156,,28.351655960083008,,59.64060974121094,50.87042999267578,,52.76936721801758,,,12.754411697387695,,,,,,,20.383459091186523,,49.00005722045898,18.542442321777344,14.57596206665039,50.69097518920898,44.33911895751953,12.425000190734863,55.0356674194336,48.96664810180664,10.590466499328612,,80.87269592285156,,,,,24.14539909362793,,,,,,,,,,15.556775093078612,34.48384475708008,,,31.53310775756836,,46.739139556884766,,,12.803470611572266,33.077728271484375,24.23554801940918,33.78968048095703,50.001014709472656,,24.348020553588867,,,,46.08369827270508,,,,17.943782806396484,,39.4009017944336,,,115.40442657470705
2007-01-10,,99.28491973876952,99.2433624267578,49.41803359985352,38.262962341308594,,7.974795341491699,60.59000015258789,,40.64769744873047,,,55.33285140991211,,21.80461502075196,11.26077365875244,5.728894710540772,12.193058013916016,11.432785034179688,36.58928680419922,13.667150497436523,25.06706428527832,9.222021102905272,34.64872360229492,,12.140000343322754,22.204734802246094,40.77867126464844,,28.31842994689941,,60.10446548461914,50.877960205078125,,52.84053802490234,,,12.785876274108888,,,,,,,20.45028114318848,,49.06415939331055,18.64832305908203,14.754286766052246,50.6052131652832,44.40265274047852,12.373000144958496,55.19373321533203,48.74755096435547,10.65384578704834,,81.10731506347656,,,,,24.188396453857425,,,,,,,,,,15.25652313232422,34.928009033203125,,,31.15862846374512,,46.75908660888672,,,12.803470611572266,32.90005111694336,24.31848526000977,33.504268646240234,49.93569946289063,,24.29193687438965,,,,45.94374465942383,,,,18.039226531982425,,39.69956207275391,,,116.2002182006836
2007-01-11,,99.8031997680664,99.67814636230467,49.79238510131836,38.65742874145508,,8.066208839416504,60.630001068115234,,40.9194564819336,,,55.22773361206055,,22.094560623168945,11.357624053955078,5.777804851531982,12.29436206817627,11.49455451965332,36.867488861083984,13.759242057800291,25.32068252563477,9.315324783325195,34.88278579711914,,12.149999618530272,22.317811965942383,41.039852142333984,,28.423643112182617,,60.47551727294922,51.5176010131836,,53.01516342163086,,,12.874367713928224,,,,,,,20.578332901000977,,49.35257339477539,18.81363105773925,14.851941108703612,50.47047424316406,44.72037124633789,12.289999961853027,55.65355682373047,48.46260070800781,10.750897407531738,,81.47235107421875,,,,,24.453575134277344,,,,,,,,,,15.169533729553224,35.381160736083984,,,31.43097305297852,,47.3106689453125,,,12.86074924468994,33.388671875,24.51890754699707,33.80872344970703,49.7817268371582,,24.59923553466797,,,,46.342620849609375,,,,18.2221622467041,,40.04477691650391,,,116.846435546875
2007-01-12,,100.55262756347656,100.43536376953124,50.12077713012695,38.85466766357422,,8.104408264160156,62.16999816894531,,41.05231094360352,,,55.15030288696289,,22.417041778564453,11.438328742980955,5.806511402130127,12.416839599609377,11.577507019042969,36.93534469604492,13.847573280334473,25.55510330200196,9.338656425476074,35.043701171875,,12.4399995803833,22.47153854370117,41.50544357299805,,28.517772674560547,,61.05532836914063,51.98417663574219,,53.422630310058594,,,12.953035354614258,,,,,,,20.600610733032227,,49.57692337036133,18.91764068603516,14.898648262023926,50.366336822509766,44.97454452514648,12.779999732971191,55.969688415527344,48.23796463012695,10.808338165283203,,81.9090576171875,,,,,24.568239212036133,,,,,,,,,,15.556775093078612,35.4932975769043,,,32.25653839111328,,47.51668930053711,,,12.922674179077148,33.586090087890625,24.588010787963867,34.11793899536133,49.73040008544922,,25.09943199157715,,,,46.63656997680664,,,,18.32953643798828,,40.40940475463867,,,118.09147644042967
2007-01-16,,100.34947967529295,100.23909759521484,50.02544784545898,38.82894134521485,,8.115324020385742,61.970001220703125,,41.01608657836914,,,55.22220230102539,,22.42591667175293,11.420170783996582,5.787373065948486,12.359382629394531,11.566913604736328,36.99643325805664,13.843810081481934,25.459030151367188,9.319218635559082,35.07295227050781,,12.399999618530272,22.43619728088379,41.4543342590332,,28.517772674560547,,60.64559173583984,51.75087356567383,,53.32559967041016,,,12.931396484375,,,,,,,20.656280517578125,,49.69869613647461,18.876785278320312,14.741551399230955,50.464332580566406,44.98866653442383,12.541999816894531,55.93379211425781,48.342071533203125,10.814276695251465,,81.93509674072266,,,,,24.62557411193848,,,,,,,,,,15.396822929382324,35.99580764770508,,,31.933124542236328,,47.410377502441406,,,12.925777435302734,33.59596252441406,24.71930885314941,34.07512664794922,49.78640365600586,,25.18914794921875,,,,46.678558349609375,,,,18.313627243041992,,40.26976776123047,,,117.2246322631836
2007-01-17,,100.34947967529295,100.28112030029295,50.06074523925781,38.511661529541016,,8.10304069519043,62.63999938964844,,41.076473236083984,,,55.188995361328125,,22.36673927307129,11.406051635742188,5.714008331298828,12.371478080749512,11.572209358215332,37.05071258544922,13.86636447906494,25.47056007385254,9.198695182800291,35.065643310546875,,12.552000045776367,22.434436798095703,41.47705078125,,28.53438949584961,,60.38274765014648,51.65307235717773,,53.3838119506836,,,12.939263343811035,,,,,,,20.600610733032227,,49.564083099365234,18.910213470458984,14.62266731262207,50.366336822509766,44.93926239013672,12.737000465393066,55.9194221496582,48.194129943847656,10.792488098144531,,81.96772003173828,,,,,24.7689208984375,,,,,,,,,,15.56799602508545,35.98234558105469,,,32.08632278442383,,47.3106689453125,,,12.921133041381836,33.53672790527344,24.74004364013672,34.05133438110352,49.71641540527344,,25.083738327026367,,,,46.594573974609375,,,,18.28580474853516,,40.2309684753418,,,117.51624298095705
