Ticker,Target_W_%,Actual_W_%,Shares,Avg_Entry,Last_Price,Market_Value,Float_PnL_$,Float_PnL_%,Stop_(2xATR14),Stop_Dist_%,Entry_Date
SPY,32.4,32.4,3.9012,746.83,739.09,2883.31,-30.2,-1.04,747.35,-1.1,2026-07-01
AMAT,19.1,19.1,3.2788,631.65,516.89,1694.76,-376.28,-18.17,612.38,-15.6,2026-07-01
INTC,19.1,19.1,18.4876,119.34,91.67,1694.76,-511.58,-23.19,119.39,-23.2,2026-07-01
AMD,17.4,17.3,3.1039,536.99,494.95,1536.27,-130.48,-7.83,522.84,-5.3,2026-07-01
IEF,12.2,12.2,11.6545,93.9,93.28,1087.14,-7.21,-0.66,93.77,-0.5,2026-07-01
