Ticker,Target_W_%,Actual_W_%,Shares,Avg_Entry,Last_Price,Market_Value,Float_PnL_$,Float_PnL_%,Stop_(2xATR14),Stop_Dist_%,Entry_Date
SPY,30.6,30.6,3.5475,747.73,769.06,2728.28,75.68,2.85,769.66,-0.1,2026-07-01
AMAT,17.4,17.4,3.1226,614.04,496.17,1549.33,-368.06,-19.2,626.53,-20.8,2026-07-01
AMD,17.4,17.4,3.3217,521.16,466.42,1549.33,-181.83,-10.5,528.18,-11.7,2026-07-01
INTC,17.4,17.2,16.5869,116.85,92.8,1539.27,-398.86,-20.58,121.62,-23.7,2026-07-01
IEF,12.7,12.7,12.0997,93.44,93.38,1129.87,-0.71,-0.06,93.39,-0.0,2026-07-01
MSFT,1.6,1.6,0.2984,499.22,484.31,144.53,-4.45,-2.99,491.43,-1.4,2026-08-07
AVGO,1.6,1.6,0.3915,390.54,362.48,141.9,-10.99,-7.19,377.46,-4.0,2026-08-14
AMZN,1.6,1.6,0.5338,271.39,265.84,141.9,-2.96,-2.05,265.54,0.1,2026-08-07
