Strategy,Years,CAGR_%,Max_DD_%,Calmar,Sharpe,Sortino,Vol_%,Beta,Alpha_%,Best_Year_%,Worst_Year_%,Final_$
SPY Buy & Hold,22.5,10.81,-54.61,0.198,0.564,0.698,17.3,1.0,-0.0,33.9,-39.4,1006190
System E Original,22.5,31.81,-26.78,1.188,1.212,1.881,23.3,0.533,24.03,184.0,-20.8,50021436
R3 Vol-Adjusted,22.5,18.36,-25.42,0.723,1.246,1.994,12.5,0.28,14.32,61.3,-23.2,4439309
R7 Full Kelly,22.5,12.08,-20.73,0.583,1.106,1.777,8.8,0.123,10.31,41.9,-17.9,1300405
A: Calmar blend Sys80/R320,22.5,29.2,-24.35,1.199,1.235,1.942,20.8,0.482,22.08,155.3,-21.3,31876473
B: +Platinum blend Sys85/Platinum15,18.5,27.5,-23.46,1.172,1.135,1.726,21.7,0.501,20.46,148.3,-21.2,8896076
C: Regime-switch SysE<->R7 (BearScore),22.5,25.05,-25.21,0.994,1.22,1.93,18.0,0.399,19.23,125.3,-20.9,15292831
D: 15% vol-target on [A],22.5,22.35,-20.17,1.108,1.25,2.062,15.5,0.349,17.22,103.0,-17.5,9352344
