Date,SPY Buy & Hold,System E Original,A: 80%SysE/20%R3 static,D: 15%vol-target on A (always),H1_BearTrap>=0.35,H1_BearTrap>=0.40,H1_BearTrap>=0.45,H1_BearTrap>=0.50,H2_VIX>=20,H2_VIX>=22,H2_VIX>=25,H2_VIX>=28,H2_VIX>=32,H3_CompRisk>=30,H3_CompRisk>=40,H3_CompRisk>=50,H3_CompRisk>=60,H3_CompRisk>=70,H4_State=Stress_only,H4_State=Warn+Stress,H4_State=Watch+Warn+Stress,H5_Liq>=30,H5_Liq>=40,H5_Liq>=50,H5_Liq>=60,H5_Liq>=70,H6_D1>=20,H6_D1>=30,H6_D1>=40,H6_D1>=50,H6_D1>=60,H7_D2>=7,H7_D2>=9,H7_D2>=11,H7_D2>=13,H8_Avol>=15pct,H8_Avol>=18pct,H8_Avol>=20pct,H8_Avol>=25pct,H8_Avol>=30pct,H8b_SPYvol>=15pct,H8b_SPYvol>=18pct,H8b_SPYvol>=20pct,H8b_SPYvol>=25pct,H9_Composite>=2of7,H9_Composite>=3of7,H9_Composite>=4of7,H9b_BearTrap|VIX&Risk,H9c_BearTrap&(VIX|Risk),H9d_BearTrap&VIX&(Risk|Liq)
2004-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-09,1.0104290121052293,1.019788224196138,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444,1.0197455803550444
2004-01-16,1.0269715544519828,1.024883231395854,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729,1.024893145945729
2004-01-23,1.0287694992317167,1.0231328830928144,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427,1.0231589058784427
2004-01-30,1.0202284586428154,1.018532550407925,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756,1.018518616589756
2004-02-06,1.0289490347144754,1.02268033406409,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965,1.022719360339965
2004-02-13,1.0350628757502573,1.029524142891252,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002,1.0295414310916002
2004-02-20,1.0328145900913819,1.0266125209511578,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591,1.026651964257591
2004-02-27,1.0340730996381526,1.0346934882649415,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658,1.0345664661599658
2004-03-05,1.0463006781116309,1.045086928654848,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079,1.0450191648096079
2004-03-12,1.0121374481387981,1.0476013290083683,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153,1.0461711075758153
2004-03-19,1.001972093162029,1.0467639048716355,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765,1.0452605446433765
