Date,SPY Buy & Hold,System E Original,R3 Vol-Adjusted,R7 Full Kelly,A: Calmar blend Sys80/R320,C: Regime-switch SysE<->R7 (BearScore),D: 15% vol-target on [A]
2004-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-01-09,1.0104290121052293,1.019788224196138,1.019575172132013,1.0178799848420472,1.0197455803550444,1.0188341045190925,1.0197455803550444
2004-01-16,1.0269715544519828,1.024883231395854,1.0249331381866027,1.025326298828401,1.024893145945729,1.025105871590556,1.024893145945729
2004-01-23,1.0287694992317167,1.0231328830928144,1.023263398302269,1.0242982183679252,1.0231589058784427,1.023716577600277,1.0231589058784427
2004-01-30,1.0202284586428154,1.018532550407925,1.0184634204227536,1.0188978163740443,1.018518616589756,1.018716431313041,1.018518616589756
2004-02-06,1.0289490347144754,1.02268033406409,1.0228762037321757,1.0239768067822852,1.022719360339965,1.023329740672463,1.022719360339965
2004-02-13,1.0350628757502573,1.029524142891252,1.0296113976112777,1.0306726666549766,1.0295414310916002,1.0300996323405602,1.0295414310916002
2004-02-20,1.0328145900913819,1.0266125209511578,1.0268106455886434,1.027895650010986,1.026651964257591,1.0272552712548586,1.026651964257591
2004-02-27,1.0340730996381526,1.0346934882649415,1.0340598256846791,1.0345924127411477,1.0345664661599658,1.0346445799363952,1.0345664661599658
2004-03-05,1.0463006781116309,1.045086928654848,1.0447496634832596,1.0453602572390897,1.0450191648096079,1.045225248212766,1.0450191648096079
2004-03-12,1.0121374481387981,1.0476013290083683,1.0404589736821097,1.0404032804601624,1.0461711075758153,1.0440044464918277,1.0461711075758153
2004-03-19,1.001972093162029,1.0467639048716355,1.0392581720123686,1.037610694317072,1.0452605446433765,1.0421860459635854,1.0452605446433765
2004-03-26,1.0017012877656464,1.0437327898702393,1.0363540429589613,1.0351615127816716,1.0422549378341932,1.0394471259082798,1.0422549378341932
2004-04-02,1.03427035039359,1.0272882691526548,1.0226305808985872,1.0290396419204353,1.0263572026395107,1.0281850190808821,1.0263572026395107
2004-04-09,1.0318345521993462,1.0241258655532246,1.0194856146751348,1.0260236045791002,1.0231982868244742,1.0250956707507197,1.0231982868244742
2004-04-16,1.0269624378204287,1.0149875753856572,1.01055798969921,1.017747253591027,1.0141022213437902,1.0163877659380505,1.0141022213437902
2004-04-23,1.0317443182665802,1.0081005873838145,1.0045414043391165,1.0132157621880094,1.0073897636766465,1.0106768024246282,1.0073897636766465
2004-04-30,1.0010697538343725,1.0027187514020883,0.9973206269861746,1.002767595799686,1.0016387805554288,1.0027680152943512,1.0016387805554288
2004-05-07,0.9920479145290928,0.9848795364938154,0.9798446271545562,0.9867223342361123,0.9838724024715717,0.9858253354791049,0.9838724024715717
2004-05-14,0.99276999318739,0.9869040118605796,0.9818156786025897,0.988483490696658,0.9858861504231954,0.987718322957871,0.9858861504231954
2004-05-21,0.9906947163318652,0.9890853080110721,0.9838649620452784,0.9898015250928945,0.9880409241051676,0.9894683780096459,0.9880409241051676
2004-05-28,1.0182114039115324,0.9996423343181636,0.9949990818364384,1.003817465631952,0.9987138023449221,1.001754547045826,0.9987138023449221
2004-06-04,1.0192941075066344,0.9914507785472958,0.9876137387961148,0.9974864702547468,0.9906839373550227,0.9944911225524241,0.9906839373550227
2004-06-11,1.0316539807357288,0.9921072363718121,0.9894386992103656,1.0004783900977896,0.9915746363774978,0.9963118257086698,0.9915746363774978
2004-06-18,1.0289003436141313,0.997962429996979,0.9942036135401526,1.0046346364464356,0.9972111454319108,1.0013212984717763,0.9972111454319108
2004-06-25,1.0308016792835324,1.0036060760812908,0.9992893234689068,1.0095361635965998,1.0027427966408948,1.0065952998258365,1.0027427966408948
2004-07-02,1.0221091782931344,1.0154848458438497,1.008646182988186,1.0173131208663335,1.0141150851543423,1.016429526234145,1.0141150851543423
2004-07-09,1.0116960166950388,1.0147781122369586,1.0065727160513922,1.0146363038525303,1.0131332981976908,1.0147385846797567,1.0131332981976908
2004-07-16,1.0024603509405876,1.0209459516943022,1.0111488779696516,1.0176573808701486,1.0189805227575295,1.0193330750630907,1.0189805227575295
2004-07-23,0.9866139877306717,1.0144284600958773,1.0033289209490068,1.0092055696284556,1.0122002404237098,1.011846613308274,1.0122002404237098
2004-07-30,1.0036377431861467,1.015090930516933,1.0056619367770037,1.0132806871534905,1.0131995109170748,1.0142198964422422,1.0131995109170748
2004-08-06,0.9675090503287789,1.029301001789676,1.0157372151682889,1.0171362945079836,1.0265759077841619,1.0232484259130656,1.0265759077841619
2004-08-13,0.9705873638513957,1.0287586233524133,1.0153036944170135,1.0173694317939987,1.0260555079946636,1.023096100484641,1.0260555079946636
2004-08-20,1.0003778222190545,1.0326782274844695,1.0198058086484603,1.026822032400964,1.0300928081579623,1.0297980195171343,1.0300928081579623
2004-08-27,1.0091612823288187,1.0343499710554989,1.0216436772057333,1.02998356834184,1.0317981060453172,1.032216909432338,1.0317981060453172
2004-09-03,1.0152274682451148,1.0345751888435697,1.0220840695267688,1.0314244575322131,1.0320667544593913,1.0330512928561693,1.0320667544593913
2004-09-10,1.0237393977718952,1.0415848764822189,1.02923881584245,1.038751128640154,1.039105796473239,1.0402200877781513,1.039105796473239
2004-09-17,1.0288189155186618,1.045501730450732,1.0333275413973888,1.0429117397744707,1.0430573710738178,1.0442591960852143,1.0430573710738178
2004-09-24,1.0134528330346946,1.0504132847774426,1.0352756505947711,1.0436363071185408,1.0473702511323102,1.0470748064093205,1.0473702511323102
2004-10-01,1.033365524711873,1.043456302258627,1.0328934074837708,1.042314403210625,1.0413380453419783,1.042944241060691,1.0413380453419783
2004-10-08,1.0229998110370915,1.0459337547148475,1.0340738506270875,1.0421528160185958,1.0435537979310705,1.0441015169846446,1.0435537979310705
